year,month,state,medium,partisanship_scenario,diet_threshold,left_pct,right_pct
2016,1,AK,tv,lenient,50,0.0136894651014208,0.107477691491158
2016,1,AK,tv,lenient,75,0,0.107477691491158
2016,1,AK,tv,stringent,50,0,0.107477691491158
2016,1,AK,tv,stringent,75,0,0.107477691491158
2016,1,AL,tv,lenient,50,0.026346556572746,0.0655192149711392
2016,1,AL,tv,lenient,75,0.0084153011365342,0.0399193016198426
2016,1,AL,tv,stringent,50,0.0084925162782823,0.0655192149711392
2016,1,AL,tv,stringent,75,0.0040892575955539,0.0399193016198426
2016,1,AR,tv,lenient,50,0.0163602997825131,0.0631383206065738
2016,1,AR,tv,lenient,75,0.0057706764368592,0.0384169588085679
2016,1,AR,tv,stringent,50,0,0.0631383206065738
2016,1,AR,tv,stringent,75,0,0.0384169588085679
2016,1,AZ,tv,lenient,50,0.0286552219466178,0.0667925367213729
2016,1,AZ,tv,lenient,75,0.006743580710636,0.0430766076677535
2016,1,AZ,tv,stringent,50,0.0086478045361789,0.0667925367213729
2016,1,AZ,tv,stringent,75,0.0007323872720198,0.0430766076677535
2016,1,CA,tv,lenient,50,0.0306359705778881,0.0475570017180548
2016,1,CA,tv,lenient,75,0.0106569353595937,0.0291245915202643
2016,1,CA,tv,stringent,50,0.0050805967674733,0.0475570017180548
2016,1,CA,tv,stringent,75,0.0010159018852612,0.0291245915202643
2016,1,CO,tv,lenient,50,0.0272985244039671,0.0655695398430511
2016,1,CO,tv,lenient,75,0.0103166859288767,0.0421376662515764
2016,1,CO,tv,stringent,50,0.0061385199450027,0.0655695398430511
2016,1,CO,tv,stringent,75,0.0023959937335117,0.0421376662515764
2016,1,CT,tv,lenient,50,0.0233455383821683,0.0621495956836465
2016,1,CT,tv,lenient,75,0.0054769573646743,0.0497132653534332
2016,1,CT,tv,stringent,50,0.00552506314629,0.0621495956836465
2016,1,CT,tv,stringent,75,0.0004641492882482,0.0497132653534332
2016,1,DC,tv,lenient,50,0.0540046413210852,0.0238681636942714
2016,1,DC,tv,lenient,75,0.0052570249179803,0.0151133219062354
2016,1,DC,tv,stringent,50,0.0399223921703775,0.0238681636942714
2016,1,DC,tv,stringent,75,0.0052570249179803,0.0151133219062354
2016,1,DE,tv,lenient,50,0.0329520811651615,0.0259408905447855
2016,1,DE,tv,lenient,75,0.0143863572883909,0.0150349888417748
2016,1,DE,tv,stringent,50,0,0.0259408905447855
2016,1,DE,tv,stringent,75,0,0.0150349888417748
2016,1,FL,tv,lenient,50,0.0354075356638941,0.0724879312008682
2016,1,FL,tv,lenient,75,0.0129247720487432,0.0449926701636668
2016,1,FL,tv,stringent,50,0.0075473904631706,0.0724879312008682
2016,1,FL,tv,stringent,75,0.0022551077847007,0.0449926701636668
2016,1,GA,tv,lenient,50,0.0312879415152953,0.0739713030562417
2016,1,GA,tv,lenient,75,0.0103170787332477,0.0426948392103074
2016,1,GA,tv,stringent,50,0.0063831943682206,0.0739713030562417
2016,1,GA,tv,stringent,75,0.0019631359298214,0.0426948392103074
2016,1,HI,tv,lenient,50,0.0339996529026907,0.0191136755254331
2016,1,HI,tv,lenient,75,0.0236998809798238,0.0124727013610487
2016,1,HI,tv,stringent,50,0.0069680268553012,0.0191136755254331
2016,1,HI,tv,stringent,75,0.0069680268553012,0.0124727013610487
2016,1,IA,tv,lenient,50,0.0083619323291898,0.045998646302342
2016,1,IA,tv,lenient,75,0.0083619323291898,0.0204141349256222
2016,1,IA,tv,stringent,50,0.0055537408976097,0.045998646302342
2016,1,IA,tv,stringent,75,0.0055537408976097,0.0204141349256222
2016,1,ID,tv,lenient,50,0.0448327612773203,0.101204254579105
2016,1,ID,tv,lenient,75,0.0122543485947862,0.0955177278937214
2016,1,ID,tv,stringent,50,0,0.101204254579105
2016,1,ID,tv,stringent,75,0,0.0955177278937214
2016,1,IL,tv,lenient,50,0.0209192499023982,0.0584706896005509
