period,state,medium,partisanship_scenario,diet_threshold,left_pct,right_pct,left_size,right_size
Last 12 months,AK,tv,lenient,50,0.0278,0.0716,9265.5203,18513.3696
Last 12 months,AK,tv,stringent,50,0.0182,0.0716,6586.3466,18513.3696
Last 12 months,AK,web,lenient,50,0.0313,0.0465,8154.5000,14662.2500
Last 12 months,AK,web,stringent,50,0.0022,0.0279,535.5000,8916.9167
Last 12 months,AL,tv,lenient,50,0.0516,0.1242,201588.3832,485759.4400
Last 12 months,AL,tv,stringent,50,0.0197,0.1242,76949.2898,485759.4400
Last 12 months,AL,web,lenient,50,0.0109,0.0091,25767.5833,21959.0000
Last 12 months,AL,web,stringent,50,0.0030,0.0035,6995.2500,8541.7500
Last 12 months,AR,tv,lenient,50,0.0411,0.1215,101627.6699,300627.6085
Last 12 months,AR,tv,stringent,50,0.0113,0.1215,27880.2994,300627.6085
Last 12 months,AR,web,lenient,50,0.0074,0.0283,13137.0833,51296.8333
Last 12 months,AR,web,stringent,50,0.0046,0.0045,8212.0833,8055.8333
Last 12 months,AZ,tv,lenient,50,0.0743,0.0744,439400.3894,439709.5025
Last 12 months,AZ,tv,stringent,50,0.0253,0.0744,149901.6131,439709.5025
Last 12 months,AZ,web,lenient,50,0.0249,0.0187,100044.7500,74674.3333
Last 12 months,AZ,web,stringent,50,0.0101,0.0069,40256.7500,27486.5833
Last 12 months,CA,tv,lenient,50,0.0903,0.0617,2918136.8217,1996179.7809
Last 12 months,CA,tv,stringent,50,0.0373,0.0617,1205808.4941,1996179.7809
Last 12 months,CA,web,lenient,50,0.0235,0.0095,527565.4167,213709.6667
Last 12 months,CA,web,stringent,50,0.0082,0.0032,183490.3333,71908.5000
Last 12 months,CO,tv,lenient,50,0.0698,0.0628,314493.1449,282852.2303
Last 12 months,CO,tv,stringent,50,0.0278,0.0628,125146.8788,282852.2303
Last 12 months,CO,web,lenient,50,0.0179,0.0125,71098.0000,50328.5000
Last 12 months,CO,web,stringent,50,0.0052,0.0035,21015.0833,14441.4167
Last 12 months,CT,tv,lenient,50,0.0932,0.0801,274171.4064,235633.6953
Last 12 months,CT,tv,stringent,50,0.0322,0.0801,94666.8933,235633.6953
Last 12 months,CT,web,lenient,50,0.0180,0.0133,37224.5833,26724.0833
Last 12 months,CT,web,stringent,50,0.0049,0.0001,10229.1667,224.9167
Last 12 months,DC,tv,lenient,50,0.1046,0.0042,51399.1461,2060.7319
