start year,start month,end year,end month,from,CNN,FOX,Hard Broadcast News,MSNBC,Newsmax,No or Minimal News,Other Cable,Soft Broadcast News,Spanish News
2016,1,2016,2,CNN,,,,,-0.000,,,,
2016,1,2016,2,FOX,886618.253,,676535.325,82997.695,-0.000,450159.006,218537.881,142219.353,
2016,1,2016,2,Hard Broadcast News,964589.829,,,115026.620,-0.000,1265232.952,36809.622,248078.722,
2016,1,2016,2,MSNBC,54355.804,,,,-0.000,192885.586,38062.108,,
2016,1,2016,2,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,2,No or Minimal News,242679.993,,,,-0.000,,,,
2016,1,2016,2,Other Cable,153840.453,,,,,326224.987,,,
2016,1,2016,2,Soft Broadcast News,193333.850,,,34276.242,-0.000,1030223.236,98930.252,,
2016,1,2016,2,Spanish News,40362.773,3229.789,117579.993,1203.194,,791200.679,109490.825,59550.068,
2016,1,2016,3,CNN,,,,,-0.000,,,,
2016,1,2016,3,FOX,279124.207,,,,-0.000,,55652.446,,
2016,1,2016,3,Hard Broadcast News,3323420.704,954302.562,,833437.720,-0.000,2599479.952,1330468.164,1856782.682,
2016,1,2016,3,MSNBC,189667.025,16107.191,,,-0.000,182378.331,,,
2016,1,2016,3,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,3,No or Minimal News,825789.283,24410.226,,,-0.000,,,,
2016,1,2016,3,Other Cable,627918.305,,,16910.893,,236100.505,,,
2016,1,2016,3,Soft Broadcast News,657739.029,278873.715,,131075.142,-0.000,972255.645,209286.619,,
2016,1,2016,3,Spanish News,127196.371,43274.959,97467.134,17308.525,,1129348.895,246839.139,169534.865,
2016,1,2016,4,CNN,,,,42974.832,-0.000,483816.991,,,
2016,1,2016,4,FOX,148063.762,,186130.461,,-0.000,1086050.716,298574.000,229698.553,
2016,1,2016,4,Hard Broadcast News,1943546.843,,,515725.170,-0.000,3770433.638,836936.169,1166686.894,
2016,1,2016,4,MSNBC,,7316.779,,,-0.000,199599.096,108883.643,,
2016,1,2016,4,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,4,No or Minimal News,,,,,-0.000,,,,
2016,1,2016,4,Other Cable,287103.176,,,,,1396108.526,,37691.800,
2016,1,2016,4,Soft Broadcast News,74677.442,,,145803.807,-0.000,1621454.265,,,
2016,1,2016,4,Spanish News,57640.357,4806.406,94510.799,7018.521,,1364282.552,172436.582,198382.290,
2016,1,2016,5,CNN,,,,272293.363,-0.000,1038538.084,95738.189,294999.996,
2016,1,2016,5,FOX,66836.751,,10108.831,2157.573,-0.000,1243859.178,257243.176,190717.451,4962.810
2016,1,2016,5,Hard Broadcast News,1265232.811,,,457168.660,-0.000,4587021.597,664091.656,1479558.986,
2016,1,2016,5,MSNBC,,,,,-0.000,211884.542,,,
2016,1,2016,5,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,5,No or Minimal News,,,,,-0.000,,,,
2016,1,2016,5,Other Cable,,,,51809.258,,1889206.711,,96328.590,
2016,1,2016,5,Soft Broadcast News,,,,77567.920,-0.000,1591447.798,,,
2016,1,2016,5,Spanish News,38080.612,,109583.633,15788.212,,1474312.331,292152.443,174136.738,
2016,1,2016,6,CNN,,62543.758,,184079.873,-0.000,596513.098,,,
2016,1,2016,6,FOX,,,,,-0.000,1246055.397,191221.788,,10447.931
2016,1,2016,6,Hard Broadcast News,1840359.267,275586.186,,660026.604,-0.000,3978900.751,888802.557,,
2016,1,2016,6,MSNBC,,17627.496,,,-0.000,293509.380,,,6297.925
2016,1,2016,6,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,6,No or Minimal News,,,,,-0.000,,,,
2016,1,2016,6,Other Cable,335013.018,,,14295.734,,1586594.848,,,
2016,1,2016,6,Soft Broadcast News,189483.536,21470.592,502716.622,147808.731,-0.000,2384674.500,541505.309,,
2016,1,2016,6,Spanish News,106478.223,,71198.171,,,1606716.912,253497.645,173280.706,
2016,1,2016,7,CNN,,86366.642,,71904.459,-0.000,,,,
2016,1,2016,7,FOX,,,,,-0.000,612282.353,,,3448.518
2016,1,2016,7,Hard Broadcast News,3988468.075,1332751.356,,1561977.103,-0.000,3408938.239,1235882.282,,
2016,1,2016,7,MSNBC,,50158.285,,,-0.000,,,,
2016,1,2016,7,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,7,No or Minimal News,525406.391,,,85582.821,-0.000,,,,
2016,1,2016,7,Other Cable,1146468.853,372608.833,,309601.586,,1159165.328,,,
2016,1,2016,7,Soft Broadcast News,1393886.295,918922.712,3826866.449,519435.189,-0.000,2957453.061,1273602.235,,
2016,1,2016,7,Spanish News,237432.675,,211761.780,19058.237,,1580235.460,327428.007,133507.839,
2016,1,2016,8,CNN,,433080.126,,183659.136,-0.000,1116787.803,,66554.382,
2016,1,2016,8,FOX,,,,,-0.000,1504831.288,,57341.514,27082.873
2016,1,2016,8,Hard Broadcast News,1741333.075,486349.130,,853686.361,-0.000,5026972.303,1705056.927,1479721.648,
2016,1,2016,8,MSNBC,,54950.059,,,-0.000,276100.502,,,4541.860
2016,1,2016,8,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,8,No or Minimal News,,,,,-0.000,,,,
2016,1,2016,8,Other Cable,301349.724,4837.187,,114179.006,,1786571.457,,,
2016,1,2016,8,Soft Broadcast News,,,,38153.931,-0.000,2131819.803,399644.590,,
2016,1,2016,8,Spanish News,60530.901,,15256.651,,,1701959.847,192575.620,176360.807,
2016,1,2016,9,CNN,,425344.157,,377917.911,-0.000,117975.363,,,
2016,1,2016,9,FOX,,,,,-0.000,1029552.727,,,12887.616
2016,1,2016,9,Hard Broadcast News,1907090.977,247332.912,,741211.650,-0.000,1109215.096,,,
2016,1,2016,9,MSNBC,,40361.380,,,-0.000,137266.705,,,
2016,1,2016,9,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,9,No or Minimal News,,,,,-0.000,,,,
2016,1,2016,9,Other Cable,858790.383,237164.985,65099.447,279377.104,,2205730.779,,,
2016,1,2016,9,Soft Broadcast News,308234.277,277086.757,1570547.074,25859.813,-0.000,2388127.375,198690.620,,
2016,1,2016,9,Spanish News,118188.749,,97768.794,37736.715,,1645060.555,156956.292,204313.183,
2016,1,2016,10,CNN,,679835.867,,319136.997,-0.000,,,,
2016,1,2016,10,FOX,,,,,-0.000,871523.895,,,3422.018
2016,1,2016,10,Hard Broadcast News,2651119.643,880768.371,,994672.592,-0.000,,,,
2016,1,2016,10,MSNBC,,116395.125,,,-0.000,136689.170,,,
2016,1,2016,10,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,10,No or Minimal News,370711.598,,726037.113,,-0.000,,,,
2016,1,2016,10,Other Cable,1255035.673,293676.453,753001.993,485982.928,,1918819.569,,,
2016,1,2016,10,Soft Broadcast News,784581.533,629573.104,3063104.533,211382.902,-0.000,2138268.326,18299.225,,
2016,1,2016,10,Spanish News,142100.076,,247745.030,33921.797,,1549169.059,190379.082,251059.348,
2016,1,2016,11,CNN,,876230.514,,379790.766,-0.000,,,,
2016,1,2016,11,FOX,,,,,-0.000,,,,
2016,1,2016,11,Hard Broadcast News,4764366.182,3167831.919,,1173456.233,-0.000,,,,
2016,1,2016,11,MSNBC,,147633.594,,,-0.000,,,,
2016,1,2016,11,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,11,No or Minimal News,1971538.329,575867.483,3784949.782,321386.753,-0.000,,,,
2016,1,2016,11,Other Cable,1886335.491,890348.220,1314741.078,701866.626,,1634274.011,,,
2016,1,2016,11,Soft Broadcast News,1014789.780,1405394.727,3076717.463,167959.622,-0.000,1560958.213,2582.895,,
2016,1,2016,11,Spanish News,164184.760,2107.337,152178.786,29401.781,,1187381.427,150175.756,219281.479,
2016,1,2016,12,CNN,,1080303.320,,479149.451,-0.000,1734120.335,,731025.420,
2016,1,2016,12,FOX,,,,,-0.000,1698017.599,,,
2016,1,2016,12,Hard Broadcast News,1832194.034,1472041.230,,283673.639,-0.000,3225298.915,,1518394.619,
2016,1,2016,12,MSNBC,,116685.534,,,-0.000,651767.133,,334647.522,
2016,1,2016,12,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,12,No or Minimal News,,,,,-0.000,,,,
2016,1,2016,12,Other Cable,543150.112,177034.958,149429.790,372956.494,,2626923.248,,424167.194,
2016,1,2016,12,Soft Broadcast News,,100147.958,,,-0.000,1932159.653,,,
2016,1,2016,12,Spanish News,11190.195,15494.862,185617.240,12987.698,,2109558.452,144057.183,317981.399,
2016,1,2017,1,CNN,,951173.287,,488869.709,-0.000,570729.432,,,
2016,1,2017,1,FOX,,,,,-0.000,861470.534,,,
2016,1,2017,1,Hard Broadcast News,3253145.453,2616526.101,,794058.865,-0.000,1440563.657,,,
2016,1,2017,1,MSNBC,,169170.179,,,-0.000,487723.423,,75458.167,
2016,1,2017,1,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,1,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,1,Other Cable,1026837.983,555380.281,264888.048,428881.946,,1769801.377,,,
2016,1,2017,1,Soft Broadcast News,393692.645,852952.765,2420381.768,,-0.000,2356086.169,102035.064,,
2016,1,2017,1,Spanish News,85119.356,22408.604,130288.530,12967.053,,1533343.194,188724.861,223786.495,
2016,1,2017,2,CNN,,1144159.625,,523694.092,-0.000,1520414.108,,,
2016,1,2017,2,FOX,,,,,-0.000,1913825.455,,,
2016,1,2017,2,Hard Broadcast News,3251298.976,2353041.722,,1005568.613,-0.000,5151717.462,309214.155,,
2016,1,2017,2,MSNBC,,105274.249,,,-0.000,697789.465,,,
2016,1,2017,2,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,2,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,2,Other Cable,821955.986,315254.030,,404680.026,,2633248.491,,,
2016,1,2017,2,Soft Broadcast News,222981.277,674789.970,284401.270,83997.066,-0.000,3616791.785,86533.598,,
2016,1,2017,2,Spanish News,128426.041,12026.373,167405.232,73740.599,,1906357.471,166434.632,253869.577,
2016,1,2017,3,CNN,,1196438.146,,857724.300,-0.000,1853819.473,,62122.735,
2016,1,2017,3,FOX,,,,,-0.000,2489850.379,,,
2016,1,2017,3,Hard Broadcast News,3143666.228,1762233.373,,1292017.241,-0.000,6050303.392,814915.295,201519.696,
2016,1,2017,3,MSNBC,,57862.796,,,-0.000,662177.689,,,
2016,1,2017,3,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,3,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,3,Other Cable,788804.455,109562.608,,441035.405,,2846615.901,,,
2016,1,2017,3,Soft Broadcast News,,319181.101,,136203.926,-0.000,3892488.929,24814.183,,
2016,1,2017,3,Spanish News,96220.797,8323.523,116883.134,85216.679,,2205799.717,169729.037,214907.988,
2016,1,2017,4,CNN,,1130412.318,,870624.451,-0.000,1721701.767,,,
2016,1,2017,4,FOX,,,,,-0.000,2583388.677,,,
2016,1,2017,4,Hard Broadcast News,3411595.921,2016569.542,,1225352.342,-0.000,7421362.354,1101639.483,453221.167,
2016,1,2017,4,MSNBC,,19781.111,,,-0.000,777920.372,,,
