start year,start month,end year,end month,archetype,delta
2016,1,2016,2,No or Minimal News,3543495.158947222
2016,1,2016,2,Hard Broadcast News,-1599929.154396899
2016,1,2016,2,Soft Broadcast News,-1114415.1220952198
2016,1,2016,2,FOX,-2440630.5540979803
2016,1,2016,2,CNN,2828944.7696029823
2016,1,2016,2,MSNBC,50491.501210971735
2016,1,2016,2,Newsmax,0.0
2016,1,2016,2,Spanish News,-1249391.6912319735
2016,1,2016,2,Other Cable,107784.58638199791
2016,1,2016,3,No or Minimal News,3240496.935411066
2016,1,2016,3,Hard Broadcast News,-10954542.3548503
2016,1,2016,3,Soft Broadcast News,-359239.6774632931
2016,1,2016,3,FOX,1066877.9032160863
2016,1,2016,3,CNN,6685841.322571967
2016,1,2016,3,MSNBC,860493.2903379686
2016,1,2016,3,Newsmax,0.0
2016,1,2016,3,Spanish News,-1905247.774144983
2016,1,2016,3,Other Cable,1433939.322515063
2016,1,2016,4,No or Minimal News,8564788.64939946
2016,1,2016,4,Hard Broadcast News,-8288703.459103838
2016,1,2016,4,Soft Broadcast News,225101.4397297427
2016,1,2016,4,FOX,-2136864.9945849665
2016,1,2016,4,CNN,2547846.4838669915
2016,1,2016,4,MSNBC,669429.9559449796
2016,1,2016,4,Newsmax,0.0
2016,1,2016,4,Spanish News,-2017992.4816849474
2016,1,2016,4,Other Cable,419965.86019201577
2016,1,2016,5,No or Minimal News,10343915.709668912
2016,1,2016,5,Hard Broadcast News,-8368727.0321711
2016,1,2016,5,Soft Broadcast News,1062734.4193386436
2016,1,2016,5,FOX,-1990573.5483269356
2016,1,2016,5,CNN,311431.6774159502
2016,1,2016,5,MSNBC,1026373.4516469408
2016,1,2016,5,Newsmax,0.0
2016,1,2016,5,Spanish News,-2179264.0644670315
2016,1,2016,5,Other Cable,-212966.38715499267
2016,1,2016,6,No or Minimal News,9236208.416053958
2016,1,2016,6,Hard Broadcast News,-6783189.8257325515
2016,1,2016,6,Soft Broadcast News,-3536913.460158199
2016,1,2016,6,FOX,-1286324.1279470138
2016,1,2016,6,CNN,2571007.4172289707
2016,1,2016,6,MSNBC,1101127.755921999
2016,1,2016,6,Newsmax,0.0
2016,1,2016,6,Spanish News,-2185503.2817180324
2016,1,2016,6,Other Cable,998171.7934860587
2016,1,2016,7,No or Minimal News,5877610.322559319
2016,1,2016,7,Hard Broadcast News,-7037911.257945344
2016,1,2016,7,Soft Broadcast News,-10956385.000010218
2016,1,2016,7,FOX,2052948.516184073
2016,1,2016,7,CNN,8443637.838718975
2016,1,2016,7,MSNBC,3087039.5807229746
2016,1,2016,7,Newsmax,0.0
2016,1,2016,7,Spanish News,-2560699.0967690274
2016,1,2016,7,Other Cable,1094547.3547840938
2016,1,2016,8,No or Minimal News,9587636.870871454
2016,1,2016,8,Hard Broadcast News,-10531687.29028508
2016,1,2016,8,Soft Broadcast News,-290165.67738737166
2016,1,2016,8,FOX,-644797.6451529935
2016,1,2016,8,CNN,1276463.19354501
2016,1,2016,8,MSNBC,1469188.4193899855
2016,1,2016,8,Newsmax,0.0
2016,1,2016,8,Spanish News,-1972112.1289830413
2016,1,2016,8,Other Cable,1593177.483843036
2016,1,2016,9,No or Minimal News,4323392.949412048
2016,1,2016,9,Hard Broadcast News,132759.97417478263
2016,1,2016,9,Soft Broadcast News,-3474775.1935131773
2016,1,2016,9,FOX,540362.738748081
2016,1,2016,9,CNN,3709623.9505529553
2016,1,2016,9,MSNBC,2151453.522632979
2016,1,2016,9,Newsmax,0.0
2016,1,2016,9,Spanish News,-1537430.881677013
2016,1,2016,9,Other Cable,-1566057.6064619087
2016,1,2016,10,No or Minimal News,276919.9353890419
2016,1,2016,10,Hard Broadcast News,2842238.3225427866
2016,1,2016,10,Soft Broadcast News,-5675319.709722266
2016,1,2016,10,FOX,2227227.258095026
2016,1,2016,10,CNN,6018876.741989959
2016,1,2016,10,MSNBC,2685417.516176967
2016,1,2016,10,Newsmax,0.0
2016,1,2016,10,Spanish News,-1567841.9031789992
2016,1,2016,10,Other Cable,-2552677.483900912
2016,1,2016,11,No or Minimal News,-8179045.750614755
2016,1,2016,11,Hard Broadcast News,1895607.2741867453
2016,1,2016,11,Soft Broadcast News,-6043889.36018927
2016,1,2016,11,FOX,7922982.83874388
2016,1,2016,11,CNN,10687628.950520014
2016,1,2016,11,MSNBC,3526649.089255005
2016,1,2016,11,Newsmax,0.0
2016,1,2016,11,Spanish News,-894889.315037977
2016,1,2016,11,Other Cable,-4517948.839800028
2016,1,2016,12,No or Minimal News,8171521.290289506
2016,1,2016,12,Hard Broadcast News,-5456803.999989994
2016,1,2016,12,Soft Broadcast News,2832229.06448061
2016,1,2016,12,FOX,1691388.54842503
2016,1,2016,12,CNN,-119708.54836101085
2016,1,2016,12,MSNBC,1048238.3871389832
2016,1,2016,12,Newsmax,0.0
2016,1,2016,12,Spanish News,-1840052.451554941
2016,1,2016,12,Other Cable,-2009673.5806510411
2016,1,2017,1,No or Minimal News,2241316.580585338
2016,1,2017,1,Hard Broadcast News,-2506467.451585777
2016,1,2017,1,Soft Broadcast News,-4535947.4193802625
2016,1,2017,1,FOX,4974621.612884175
2016,1,2017,1,CNN,4475683.354864977
2016,1,2017,1,MSNBC,2192534.483904969
2016,1,2017,1,Newsmax,0.0
2016,1,2017,1,Spanish News,-1049669.9999529906
2016,1,2017,1,Other Cable,-1438763.967776969
2016,1,2017,2,No or Minimal News,10669065.65898417
2016,1,2017,2,Hard Broadcast News,-9104028.761486948
2016,1,2017,2,Soft Broadcast News,-3581181.1935082525
2016,1,2017,2,FOX,3653069.374411069
2016,1,2017,2,CNN,2966178.555280991
2016,1,2017,2,MSNBC,2629619.251196012
2016,1,2017,2,Newsmax,0.0
2016,1,2017,2,Spanish News,-1555996.4054900222
2016,1,2017,2,Other Cable,-1291564.6636219807
2016,1,2017,3,No or Minimal News,12511766.35483805
2016,1,2017,3,Hard Broadcast News,-10324791.129059725
2016,1,2017,3,Soft Broadcast News,-2624920.096814312
2016,1,2017,3,FOX,1992356.6128930487
2016,1,2017,3,CNN,1826336.0645349752
2016,1,2017,3,MSNBC,3458720.3226129506
2016,1,2017,3,Newsmax,0.0
2016,1,2017,3,Spanish News,-1778273.4192849621
2016,1,2017,3,Other Cable,-695062.064548973
2016,1,2017,4,No or Minimal News,14612835.582772069
2016,1,2017,4,Hard Broadcast News,-13015347.492471911
2016,1,2017,4,Soft Broadcast News,-3679372.6601973325
2016,1,2017,4,FOX,2462577.372032054
2016,1,2017,4,CNN,2627676.917211041
2016,1,2017,4,MSNBC,3444883.9893199466
2016,1,2017,4,Newsmax,0.0
2016,1,2017,4,Spanish News,-2234202.1150159873
2016,1,2017,4,Other Cable,125071.12684705108
2016,1,2017,5,No or Minimal News,15290974.193520464
2016,1,2017,5,Hard Broadcast News,-12591077.999977827
2016,1,2017,5,Soft Broadcast News,-3471084.9031692445
2016,1,2017,5,FOX,1350601.7096941136
2016,1,2017,5,CNN,2501273.774210941
2016,1,2017,5,MSNBC,3957020.9355280027
2016,1,2017,5,Newsmax,0.0
2016,1,2017,5,Spanish News,-2469368.3225169815
2016,1,2017,5,Other Cable,-199049.48383899778
2016,1,2017,6,No or Minimal News,17430227.816176303
2016,1,2017,6,Hard Broadcast News,-8727495.292383
2016,1,2017,6,Soft Broadcast News,-8063788.260210156
2016,1,2017,6,FOX,1574757.5720490664
2016,1,2017,6,CNN,1912581.4504979774
2016,1,2017,6,MSNBC,3967460.9559409562
2016,1,2017,6,Newsmax,0.0
2016,1,2017,6,Spanish News,-2680955.7150100153
2016,1,2017,6,Other Cable,-1085722.4398731068
2016,1,2017,7,No or Minimal News,22543818.67736698
2016,1,2017,7,Hard Broadcast News,-13931412.225831807
2016,1,2017,7,Soft Broadcast News,-6598468.387042228
2016,1,2017,7,FOX,132459.38707001507
2016,1,2017,7,CNN,1727107.3870669603
2016,1,2017,7,MSNBC,4275762.290337997
2016,1,2017,7,Newsmax,0.0
2016,1,2017,7,Spanish News,-3047352.1612340156
2016,1,2017,7,Other Cable,-827570.3548430204
2016,1,2017,8,No or Minimal News,14483366.741993092
2016,1,2017,8,Hard Broadcast News,-12103328.45156619
2016,1,2017,8,Soft Broadcast News,-5858306.838658165
2016,1,2017,8,FOX,1850290.774196066
2016,1,2017,8,CNN,4455458.290290987
2016,1,2017,8,MSNBC,4595461.548454996
2016,1,2017,8,Newsmax,0.0
2016,1,2017,8,Spanish News,-2577622.774138052
2016,1,2017,8,Other Cable,-170767.29037497565
2016,1,2017,9,No or Minimal News,12248111.649442919
2016,1,2017,9,Hard Broadcast News,-13660473.892426863
2016,1,2017,9,Soft Broadcast News,-3550147.6268412992
2016,1,2017,9,FOX,2465271.6387490034
2016,1,2017,9,CNN,6343367.983865052
2016,1,2017,9,MSNBC,4926404.655985968
2016,1,2017,9,Newsmax,0.0
2016,1,2017,9,Spanish News,-906237.048361009
2016,1,2017,9,Other Cable,-1117719.4397909902
2016,1,2017,10,No or Minimal News,12932157.544702463
2016,1,2017,10,Hard Broadcast News,-10590672.340089805
