state,year,month,medium,political_lean,diet_threshold,partisanship_scenario,value
AK,2015,1,tv,L,50,lenient,9.8
AK,2015,2,tv,L,50,lenient,19.8
AK,2015,3,tv,L,50,lenient,29.8
AK,2015,4,tv,L,50,lenient,39.8
AK,2015,1,tv,R,50,lenient,4.8
AK,2015,2,tv,R,50,lenient,9.8
AK,2015,3,tv,R,50,lenient,14.8
AK,2015,4,tv,R,50,lenient,19.8
AK,2015,1,online,L,50,lenient,1.8
AK,2015,2,online,L,50,lenient,3.8
AK,2015,3,online,L,50,lenient,5.8
AK,2015,4,online,L,50,lenient,7.8
AK,2015,1,online,R,50,lenient,0.8
AK,2015,2,online,R,50,lenient,1.8
AK,2015,3,online,R,50,lenient,2.8
AK,2015,4,online,R,50,lenient,3.8
AK,2015,1,tv,L,50,strict,9.4
AK,2015,2,tv,L,50,strict,19.4
AK,2015,3,tv,L,50,strict,29.4
AK,2015,4,tv,L,50,strict,39.4
AK,2015,1,tv,R,50,strict,4.4
AK,2015,2,tv,R,50,strict,9.4
AK,2015,3,tv,R,50,strict,14.4
AK,2015,4,tv,R,50,strict,19.4
AK,2015,1,online,L,50,strict,1.4
AK,2015,2,online,L,50,strict,3.4
AK,2015,3,online,L,50,strict,5.4
AK,2015,4,online,L,50,strict,7.4
AK,2015,1,online,R,50,strict,0.4
AK,2015,2,online,R,50,strict,1.4
AK,2015,3,online,R,50,strict,2.4
AK,2015,4,online,R,50,strict,3.4
AK,2015,1,tv,L,75,lenient,6.8
AK,2015,2,tv,L,75,lenient,16.8
AK,2015,3,tv,L,75,lenient,26.8
AK,2015,4,tv,L,75,lenient,36.8
AK,2015,1,tv,R,75,lenient,1.8
AK,2015,2,tv,R,75,lenient,6.8
AK,2015,3,tv,R,75,lenient,11.8
AK,2015,4,tv,R,75,lenient,16.8
AK,2015,1,online,L,75,lenient,0.8
AK,2015,2,online,L,75,lenient,2.8
AK,2015,3,online,L,75,lenient,4.8
AK,2015,4,online,L,75,lenient,6.8
AK,2015,1,online,R,75,lenient,0.3
AK,2015,2,online,R,75,lenient,0.8
AK,2015,3,online,R,75,lenient,1.8
AK,2015,4,online,R,75,lenient,2.8
AK,2015,1,tv,L,75,strict,6.4
AK,2015,2,tv,L,75,strict,16.4
AK,2015,3,tv,L,75,strict,26.4
AK,2015,4,tv,L,75,strict,36.4
AK,2015,1,tv,R,75,strict,1.4
AK,2015,2,tv,R,75,strict,6.4
AK,2015,3,tv,R,75,strict,11.4
AK,2015,4,tv,R,75,strict,16.4
AK,2015,1,online,L,75,strict,0.4
AK,2015,2,online,L,75,strict,2.4
AK,2015,3,online,L,75,strict,4.4
AK,2015,4,online,L,75,strict,6.4
AK,2015,1,online,R,75,strict,0
AK,2015,2,online,R,75,strict,0.4
AK,2015,3,online,R,75,strict,1.4
AK,2015,4,online,R,75,strict,2.4
AL,2015,1,tv,L,50,lenient,10
AL,2015,2,tv,L,50,lenient,20
AL,2015,3,tv,L,50,lenient,30
AL,2015,4,tv,L,50,lenient,40
AL,2015,1,tv,R,50,lenient,5
AL,2015,2,tv,R,50,lenient,10
AL,2015,3,tv,R,50,lenient,15
AL,2015,4,tv,R,50,lenient,20
AL,2015,1,online,L,50,lenient,2
AL,2015,2,online,L,50,lenient,4
AL,2015,3,online,L,50,lenient,6
AL,2015,4,online,L,50,lenient,8
AL,2015,1,online,R,50,lenient,1
AL,2015,2,online,R,50,lenient,2
AL,2015,3,online,R,50,lenient,3
AL,2015,4,online,R,50,lenient,4
AL,2015,1,tv,L,50,strict,9.6
AL,2015,2,tv,L,50,strict,19.6
AL,2015,3,tv,L,50,strict,29.6
AL,2015,4,tv,L,50,strict,39.6
AL,2015,1,tv,R,50,strict,4.6
AL,2015,2,tv,R,50,strict,9.6
AL,2015,3,tv,R,50,strict,14.6
AL,2015,4,tv,R,50,strict,19.6
AL,2015,1,online,L,50,strict,1.6
AL,2015,2,online,L,50,strict,3.6
AL,2015,3,online,L,50,strict,5.6
AL,2015,4,online,L,50,strict,7.6
AL,2015,1,online,R,50,strict,0.6
AL,2015,2,online,R,50,strict,1.6
AL,2015,3,online,R,50,strict,2.6
AL,2015,4,online,R,50,strict,3.6
AL,2015,1,tv,L,75,lenient,7
AL,2015,2,tv,L,75,lenient,17
AL,2015,3,tv,L,75,lenient,27
AL,2015,4,tv,L,75,lenient,37
AL,2015,1,tv,R,75,lenient,2
AL,2015,2,tv,R,75,lenient,7
AL,2015,3,tv,R,75,lenient,12
AL,2015,4,tv,R,75,lenient,17
AL,2015,1,online,L,75,lenient,1
AL,2015,2,online,L,75,lenient,3
AL,2015,3,online,L,75,lenient,5
AL,2015,4,online,L,75,lenient,7
AL,2015,1,online,R,75,lenient,0.5
AL,2015,2,online,R,75,lenient,1
AL,2015,3,online,R,75,lenient,2
AL,2015,4,online,R,75,lenient,3
AL,2015,1,tv,L,75,strict,6.6
AL,2015,2,tv,L,75,strict,16.6
AL,2015,3,tv,L,75,strict,26.6
AL,2015,4,tv,L,75,strict,36.6
AL,2015,1,tv,R,75,strict,1.6
AL,2015,2,tv,R,75,strict,6.6
