period,state,medium,partisanship_scenario,diet_threshold,left_pct,right_pct
Last 12 months,AK,tv,lenient,50,0.0178158119757678,0.0575654528291426
Last 12 months,AK,tv,lenient,75,0.00688232930485083,0.0371402371991388
Last 12 months,AK,tv,stringent,50,0.00735927638835643,0.0575654528291426
Last 12 months,AK,tv,stringent,75,0.00236870585487087,0.0371402371991388
Last 12 months,AL,tv,lenient,50,0.0352998472742289,0.119098760075744
Last 12 months,AL,tv,lenient,75,0.0161150817117545,0.0884953973112773
Last 12 months,AL,tv,stringent,50,0.00520100008683707,0.119098760075744
Last 12 months,AL,tv,stringent,75,0.000377902283427517,0.0884953973112773
Last 12 months,AR,tv,lenient,50,0.0299832164246541,0.119021965751956
Last 12 months,AR,tv,lenient,75,0.0144386294196027,0.105014623572152
Last 12 months,AR,tv,stringent,50,0.00471306625527306,0.119021965751956
Last 12 months,AR,tv,stringent,75,0.00040893234955905,0.105014623572152
Last 12 months,AZ,tv,lenient,50,0.0610387957573837,0.0701195785323801
Last 12 months,AZ,tv,lenient,75,0.0305186873872329,0.0602583420871934
Last 12 months,AZ,tv,stringent,50,0.009559630529055,0.0701195785323801
Last 12 months,AZ,tv,stringent,75,0.00134063420305124,0.0602583420871934
Last 12 months,CA,tv,lenient,50,0.0657967846406459,0.0595747197898794
Last 12 months,CA,tv,lenient,75,0.0313817425186436,0.0501776098506687
Last 12 months,CA,tv,stringent,50,0.0124020375279791,0.0595747197898794
Last 12 months,CA,tv,stringent,75,0.00111063103021826,0.0501776098506687
Last 12 months,CO,tv,lenient,50,0.0460760648272357,0.0632445009312591
Last 12 months,CO,tv,lenient,75,0.0247984565471851,0.0523298798172471
Last 12 months,CO,tv,stringent,50,0.00937578671275841,0.0632445009312591
Last 12 months,CO,tv,stringent,75,0.00205267565151043,0.0523298798172471
Last 12 months,CT,tv,lenient,50,0.073067581980489,0.0766617464580591
Last 12 months,CT,tv,lenient,75,0.0330521283172577,0.0601592498001399
Last 12 months,CT,tv,stringent,50,0.0156256527753901,0.0766617464580591
Last 12 months,CT,tv,stringent,75,0.00106028865417535,0.0601592498001399
Last 12 months,DC,tv,lenient,50,0.0664564068441692,0.00566582893382539
Last 12 months,DC,tv,lenient,75,0.0391886703688252,0.00446448399450488
Last 12 months,DC,tv,stringent,50,0.0146907534510583,0.00566582893382539
Last 12 months,DC,tv,stringent,75,0.000425645023684125,0.00446448399450488
Last 12 months,DE,tv,lenient,50,0.0742395080463486,0.0676803180335863
Last 12 months,DE,tv,lenient,75,0.0339527921202918,0.0460944326150271
Last 12 months,DE,tv,stringent,50,0.0105801630760986,0.0676803180335863
Last 12 months,DE,tv,stringent,75,0.00196240417893717,0.0460944326150271
Last 12 months,FL,tv,lenient,50,0.0530735104936887,0.0965871081492659
Last 12 months,FL,tv,lenient,75,0.0239583672483025,0.0789389845856888
Last 12 months,FL,tv,stringent,50,0.0104938735577193,0.0965871081492659
Last 12 months,FL,tv,stringent,75,0.00102770246576587,0.0789389845856888
Last 12 months,GA,tv,lenient,50,0.0484678911592519,0.0751396766114751
Last 12 months,GA,tv,lenient,75,0.0238756283336133,0.0603599036036643
Last 12 months,GA,tv,stringent,50,0.00904685140354317,0.0751396766114751
Last 12 months,GA,tv,stringent,75,0.00106159280804774,0.0603599036036643
Last 12 months,HI,tv,lenient,50,0.0493943597004312,0.081635778271121
Last 12 months,HI,tv,lenient,75,0.0160591409379938,0.0663139447564864
Last 12 months,HI,tv,stringent,50,0.00593729338512438,0.081635778271121
Last 12 months,HI,tv,stringent,75,0.00283154589877003,0.0663139447564864
Last 12 months,IA,tv,lenient,50,0.0356525321178742,0.0907610497494845
Last 12 months,IA,tv,lenient,75,0.0165747899101823,0.0776316152527542
Last 12 months,IA,tv,stringent,50,0.00533419044111046,0.0907610497494845
Last 12 months,IA,tv,stringent,75,0.00184735977200275,0.0776316152527542
Last 12 months,ID,tv,lenient,50,0.0236374035281025,0.106755423039838
Last 12 months,ID,tv,lenient,75,0.011395185202762,0.0825033022383075
Last 12 months,ID,tv,stringent,50,0.00415881371412066,0.106755423039838
Last 12 months,ID,tv,stringent,75,0,0.0825033022383075
Last 12 months,IL,tv,lenient,50,0.0462197216698261,0.0667051639980087
Last 12 months,IL,tv,lenient,75,0.0200358707566683,0.0539804890399441
Last 12 months,IL,tv,stringent,50,0.00968654542544997,0.0667051639980087
Last 12 months,IL,tv,stringent,75,0.00118346593086757,0.0539804890399441
Last 12 months,IN,tv,lenient,50,0.0323983516110771,0.0775659711823033
Last 12 months,IN,tv,lenient,75,0.0161309059808671,0.063102567878044
Last 12 months,IN,tv,stringent,50,0.00670400031790794,0.0775659711823033
Last 12 months,IN,tv,stringent,75,0.000633215131669583,0.063102567878044
Last 12 months,KS,tv,lenient,50,0.0344964402546244,0.0821784283608051
Last 12 months,KS,tv,lenient,75,0.0184437488318827,0.0575536981632092
Last 12 months,KS,tv,stringent,50,0.00620909225092855,0.0821784283608051
Last 12 months,KS,tv,stringent,75,0.000142623522656525,0.0575536981632092
Last 12 months,KY,tv,lenient,50,0.0334458068669754,0.10215078060289
Last 12 months,KY,tv,lenient,75,0.0189517158628939,0.080565905528357
