start year,start month,end year,end month,from,CNN,FOX,Hard Broadcast News,MSNBC,Newsmax,No or Minimal News,Other Cable,Soft Broadcast News,Spanish News
2016,1,2016,2,CNN,,,,,-0.000,,,,
2016,1,2016,2,FOX,580839.609,,891703.075,108399.767,-0.000,285058.945,105935.342,100502.498,11930.892
2016,1,2016,2,Hard Broadcast News,691755.089,,,273774.422,-0.000,1229169.654,,,
2016,1,2016,2,MSNBC,93976.562,,,,-0.000,218294.999,178324.179,,
2016,1,2016,2,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,2,No or Minimal News,158256.760,,,,-0.000,,,,
2016,1,2016,2,Other Cable,90259.272,,53602.717,,,352115.275,,,
2016,1,2016,2,Soft Broadcast News,291519.606,,2247231.779,117277.313,-0.000,1501206.085,428240.724,,
2016,1,2016,2,Spanish News,80226.488,,167533.755,16935.738,,647979.575,80589.583,33352.364,
2016,1,2016,3,CNN,,,,44995.652,-0.000,,,,
2016,1,2016,3,FOX,255100.755,,,112028.418,-0.000,,98708.251,,
2016,1,2016,3,Hard Broadcast News,2243352.694,158460.402,,1232223.368,-0.000,2717478.336,265171.056,,
2016,1,2016,3,MSNBC,,,,,-0.000,212629.892,40210.772,,
2016,1,2016,3,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,3,No or Minimal News,613381.503,79104.977,,,-0.000,,,,
2016,1,2016,3,Other Cable,363516.016,,,,,680131.828,,,
2016,1,2016,3,Soft Broadcast News,767659.271,380372.594,3107175.955,506217.990,-0.000,1290607.573,445575.503,,
2016,1,2016,3,Spanish News,130246.379,25389.237,204031.418,36662.336,,956516.368,186673.793,92194.343,
2016,1,2016,4,CNN,,,,17243.194,-0.000,340468.356,,,
2016,1,2016,4,FOX,119580.337,,481064.600,53209.346,-0.000,865428.993,162370.940,204117.446,7103.351
2016,1,2016,4,Hard Broadcast News,1766354.323,,,926549.266,-0.000,4099833.082,472743.336,,
2016,1,2016,4,MSNBC,,,,,-0.000,375861.743,79788.596,,6463.625
2016,1,2016,4,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,4,No or Minimal News,,,,,-0.000,,,,
2016,1,2016,4,Other Cable,211527.806,,,,,1361775.929,,,
2016,1,2016,4,Soft Broadcast News,243229.704,,487236.341,263118.354,-0.000,2377619.174,473035.550,,
2016,1,2016,4,Spanish News,54315.924,,151017.424,,,1122966.429,104081.238,117246.777,
2016,1,2016,5,CNN,,,,110147.693,-0.000,792905.378,,41909.521,
2016,1,2016,5,FOX,224512.990,,616320.380,109145.525,-0.000,1074261.027,147194.763,216623.766,4348.401
2016,1,2016,5,Hard Broadcast News,1231616.175,,,700069.126,-0.000,4746777.702,429991.155,,
2016,1,2016,5,MSNBC,,,,,-0.000,399506.751,,,
2016,1,2016,5,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,5,No or Minimal News,,,,,-0.000,,,,
2016,1,2016,5,Other Cable,87476.429,,,118031.967,,1539066.293,,,
2016,1,2016,5,Soft Broadcast News,,,331904.776,286849.308,-0.000,2111466.294,443511.773,,
2016,1,2016,5,Spanish News,49992.015,,261440.826,12280.711,,1244903.771,206973.161,182078.007,
2016,1,2016,6,CNN,,,,174436.537,-0.000,475737.559,,,
2016,1,2016,6,FOX,94224.525,,221980.797,94646.806,-0.000,1097627.080,148369.444,,11790.810
2016,1,2016,6,Hard Broadcast News,1578395.798,,,903491.792,-0.000,4255877.490,365009.334,,
2016,1,2016,6,MSNBC,,,,,-0.000,462436.869,76213.493,,1711.780
2016,1,2016,6,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,6,No or Minimal News,,,,,-0.000,,,,
2016,1,2016,6,Other Cable,243223.485,,,,,1514362.896,,,
2016,1,2016,6,Soft Broadcast News,405581.237,174867.072,3200259.214,449531.987,-0.000,3204272.365,1145919.135,,
2016,1,2016,6,Spanish News,85487.373,,298007.042,,,1516066.582,162415.376,113887.347,
2016,1,2016,7,CNN,,,,214466.834,-0.000,,,,
2016,1,2016,7,FOX,44629.183,,,37054.217,-0.000,507520.081,,,28749.404
2016,1,2016,7,Hard Broadcast News,3187875.962,977123.784,,1975358.013,-0.000,4478366.458,539308.791,,
2016,1,2016,7,MSNBC,,,,,-0.000,41037.864,,,10352.035
2016,1,2016,7,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,7,No or Minimal News,199496.082,,,,-0.000,,,,
2016,1,2016,7,Other Cable,694481.478,244932.505,,192373.426,,1703012.034,,,
2016,1,2016,7,Soft Broadcast News,1451450.170,1163316.172,6758238.715,1217146.353,-0.000,4317397.569,1555032.962,,
2016,1,2016,7,Spanish News,205264.722,,408748.803,,,1427433.919,143600.450,87037.099,
2016,1,2016,8,CNN,,135636.398,,422254.156,-0.000,1015752.047,,257380.766,
2016,1,2016,8,FOX,,,218598.442,,-0.000,1147238.404,,167106.828,51371.178
2016,1,2016,8,Hard Broadcast News,1663967.446,,,1119607.980,-0.000,4945499.748,657014.759,1141292.543,
2016,1,2016,8,MSNBC,,29845.751,,,-0.000,420077.831,,,22798.583
2016,1,2016,8,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,8,No or Minimal News,,,,,-0.000,,,,
2016,1,2016,8,Other Cable,302749.027,16757.537,,51434.652,,1891072.227,,,
2016,1,2016,8,Soft Broadcast News,,,,347962.676,-0.000,2772042.376,796202.703,,
2016,1,2016,8,Spanish News,102688.625,,213510.674,,,1431996.564,104012.579,198645.422,
2016,1,2016,9,CNN,,171867.430,,429952.357,-0.000,474588.121,,,
2016,1,2016,9,FOX,,,,,-0.000,752611.177,,,17933.337
2016,1,2016,9,Hard Broadcast News,2037783.894,150062.596,,1196864.033,-0.000,2485417.895,,,
2016,1,2016,9,MSNBC,,26200.148,,,-0.000,265099.722,,,4771.375
2016,1,2016,9,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,9,No or Minimal News,,,,,-0.000,,,,
2016,1,2016,9,Other Cable,473829.655,200480.950,214291.449,184940.597,,2267364.683,,,
2016,1,2016,9,Soft Broadcast News,254732.992,452351.548,1658634.194,501235.119,-0.000,3406432.465,681350.348,,
2016,1,2016,9,Spanish News,140240.382,,375592.586,,,1565001.427,63163.518,147676.078,
2016,1,2016,10,CNN,,265220.282,,436265.918,-0.000,81861.602,,,
2016,1,2016,10,FOX,,,27368.051,31923.060,-0.000,735535.543,,,20194.721
2016,1,2016,10,Hard Broadcast News,2355892.809,,,1265114.375,-0.000,322440.223,,,
2016,1,2016,10,MSNBC,,,,,-0.000,300632.781,,,
2016,1,2016,10,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,10,No or Minimal News,,,,,-0.000,,,,
2016,1,2016,10,Other Cable,620159.657,173994.013,943451.508,247946.669,,2204523.655,,,
2016,1,2016,10,Soft Broadcast News,696170.297,681323.249,5388342.499,685153.508,-0.000,2735278.727,555826.395,,
2016,1,2016,10,Spanish News,153719.613,,498278.925,10475.312,,1507996.123,93479.129,167964.891,
2016,1,2016,11,CNN,,458826.880,,296939.070,-0.000,,,,
2016,1,2016,11,FOX,,,,,-0.000,,,,110.751
2016,1,2016,11,Hard Broadcast News,3854550.354,2356702.968,,1313376.504,-0.000,,,,
2016,1,2016,11,MSNBC,,104830.454,,,-0.000,,,,
2016,1,2016,11,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,11,No or Minimal News,1085136.566,541799.016,2317382.446,50723.661,-0.000,,,,
2016,1,2016,11,Other Cable,749024.133,497693.655,727752.932,203910.426,,1493795.132,,,
2016,1,2016,11,Soft Broadcast News,992860.477,1920467.543,3717732.738,527682.801,-0.000,1977475.340,669585.266,,
2016,1,2016,11,Spanish News,174075.697,,422610.221,799.742,,1227289.407,54212.284,107625.954,
2016,1,2016,12,CNN,,583062.648,,362067.646,-0.000,1638154.157,,645101.654,
2016,1,2016,12,FOX,,,,,-0.000,1186157.866,,,8369.330
2016,1,2016,12,Hard Broadcast News,2173194.033,981474.002,,432177.750,-0.000,4256424.422,56407.737,2468573.076,
2016,1,2016,12,MSNBC,,38693.260,,,-0.000,825883.773,,204368.213,13701.307
2016,1,2016,12,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,12,No or Minimal News,,,,,-0.000,,,,
2016,1,2016,12,Other Cable,142691.616,59361.325,,22142.451,,2384522.180,,,
2016,1,2016,12,Soft Broadcast News,,265818.575,,,-0.000,2706413.412,309421.209,,
2016,1,2016,12,Spanish News,70069.976,,325158.205,,,2051136.364,60502.810,243903.297,
2016,1,2017,1,CNN,,589665.260,,447987.226,-0.000,894939.673,,,
2016,1,2017,1,FOX,,,,,-0.000,464715.060,,,
2016,1,2017,1,Hard Broadcast News,3034636.549,2081104.970,,1128817.170,-0.000,2671812.261,,,
2016,1,2017,1,MSNBC,,52674.647,,,-0.000,402348.128,,,8880.403
2016,1,2017,1,Newsmax,,,,,,,-0.000,,-0.000
