period,state,medium,partisanship_scenario,diet_threshold,left_pct,right_pct,left_size,right_size
Last 12 months,AK,tv,lenient,50,0.0984,0.0741,32843.2747,22799.0415
Last 12 months,AK,tv,stringent,50,0.0819,0.0741,27528.7811,22799.0415
Last 12 months,AL,tv,lenient,50,0.0406,0.1185,166646.2826,484784.3910
Last 12 months,AL,tv,stringent,50,0.0212,0.1185,86851.9549,484784.3910
Last 12 months,AR,tv,lenient,50,0.0535,0.1361,125639.0682,320257.1052
Last 12 months,AR,tv,stringent,50,0.0232,0.1361,54601.9185,320257.1052
Last 12 months,AZ,tv,lenient,50,0.0666,0.0832,392083.3208,490133.7432
Last 12 months,AZ,tv,stringent,50,0.0332,0.0832,195340.9335,490133.7432
Last 12 months,CA,tv,lenient,50,0.0763,0.0582,2471615.1764,1884387.4823
Last 12 months,CA,tv,stringent,50,0.0407,0.0582,1318283.5110,1884387.4823
Last 12 months,CO,tv,lenient,50,0.0677,0.0746,309025.9373,340717.3157
Last 12 months,CO,tv,stringent,50,0.0376,0.0746,171598.3957,340717.3157
Last 12 months,CT,tv,lenient,50,0.0714,0.0901,217500.1188,274714.0740
Last 12 months,CT,tv,stringent,50,0.0391,0.0901,119052.5990,274714.0740
Last 12 months,DC,tv,lenient,50,0.0972,0.0102,56268.5418,5770.2902
Last 12 months,DC,tv,stringent,50,0.0482,0.0102,28076.4954,5770.2902
Last 12 months,DE,tv,lenient,50,0.0736,0.0569,68271.3530,52546.2325
Last 12 months,DE,tv,stringent,50,0.0352,0.0569,32578.4739,52546.2325
Last 12 months,FL,tv,lenient,50,0.0696,0.1085,1285330.5276,2003279.5198
Last 12 months,FL,tv,stringent,50,0.0372,0.1085,686325.1939,2003279.5198
Last 12 months,GA,tv,lenient,50,0.0657,0.0976,608718.5166,903168.8615
Last 12 months,GA,tv,stringent,50,0.0346,0.0976,320493.6254,903168.8615
Last 12 months,HI,tv,lenient,50,0.0994,0.0673,95442.3722,63888.1694
Last 12 months,HI,tv,stringent,50,0.0554,0.0673,53347.9628,63888.1694
Last 12 months,IA,tv,lenient,50,0.0534,0.0852,137309.0620,219523.2073
Last 12 months,IA,tv,stringent,50,0.0291,0.0852,74506.2627,219523.2073
Last 12 months,ID,tv,lenient,50,0.0258,0.1051,35995.6854,146502.9098
Last 12 months,ID,tv,stringent,50,0.0187,0.1051,25724.9503,146502.9098
Last 12 months,IL,tv,lenient,50,0.0618,0.0688,666839.3707,743153.7633
Last 12 months,IL,tv,stringent,50,0.0342,0.0688,369089.9454,743153.7633
Last 12 months,IN,tv,lenient,50,0.0498,0.0878,293274.7162,517245.7153
Last 12 months,IN,tv,stringent,50,0.0275,0.0878,161876.1971,517245.7153
Last 12 months,KS,tv,lenient,50,0.0393,0.0903,106024.1791,244184.8476
Last 12 months,KS,tv,stringent,50,0.0192,0.0903,51646.3348,244184.8476
Last 12 months,KY,tv,lenient,50,0.0414,0.0906,152066.3660,332233.1319
Last 12 months,KY,tv,stringent,50,0.0218,0.0906,80298.6690,332233.1319
Last 12 months,LA,tv,lenient,50,0.0452,0.0769,180773.8963,308630.3860
Last 12 months,LA,tv,stringent,50,0.0270,0.0769,107361.1166,308630.3860
Last 12 months,MA,tv,lenient,50,0.0959,0.0495,553495.2869,285851.7620
Last 12 months,MA,tv,stringent,50,0.0474,0.0495,273174.4154,285851.7620
Last 12 months,MD,tv,lenient,50,0.1122,0.0645,598869.8058,344086.5584
Last 12 months,MD,tv,stringent,50,0.0617,0.0645,329013.5387,344086.5584
Last 12 months,ME,tv,lenient,50,0.1369,0.0421,139961.4099,43163.7303
Last 12 months,ME,tv,stringent,50,0.0621,0.0421,63169.6202,43163.7303
Last 12 months,MI,tv,lenient,50,0.0717,0.0896,597680.3047,747145.5922
Last 12 months,MI,tv,stringent,50,0.0387,0.0896,321744.1892,747145.5922
Last 12 months,MN,tv,lenient,50,0.0495,0.0670,226154.2691,306063.8142
Last 12 months,MN,tv,stringent,50,0.0261,0.0670,119024.0751,306063.8142
Last 12 months,MO,tv,lenient,50,0.0569,0.1038,291224.3081,531718.8948
Last 12 months,MO,tv,stringent,50,0.0351,0.1038,179892.4479,531718.8948
Last 12 months,MS,tv,lenient,50,0.0216,0.0868,49575.1528,199080.6944
Last 12 months,MS,tv,stringent,50,0.0064,0.0868,14524.7836,199080.6944
Last 12 months,MT,tv,lenient,50,0.0335,0.1204,31323.7024,110477.9832
Last 12 months,MT,tv,stringent,50,0.0237,0.1204,22114.8481,110477.9832
Last 12 months,NC,tv,lenient,50,0.0682,0.0889,634762.2653,828019.1501
Last 12 months,NC,tv,stringent,50,0.0347,0.0889,323703.7624,828019.1501
Last 12 months,ND,tv,lenient,50,0.0133,0.1623,7085.7353,84077.1927
Last 12 months,ND,tv,stringent,50,0.0115,0.1623,6160.9377,84077.1927
Last 12 months,NE,tv,lenient,50,0.0199,0.1010,33104.7837,167670.2950
Last 12 months,NE,tv,stringent,50,0.0108,0.1010,17988.2896,167670.2950
Last 12 months,NH,tv,lenient,50,0.0743,0.0901,95429.8224,116118.2816
Last 12 months,NH,tv,stringent,50,0.0435,0.0901,56680.6574,116118.2816
Last 12 months,NJ,tv,lenient,50,0.0846,0.0893,692295.4203,730105.9291
Last 12 months,NJ,tv,stringent,50,0.0442,0.0893,361885.2247,730105.9291
Last 12 months,NM,tv,lenient,50,0.0784,0.0729,131230.8706,122222.1086
Last 12 months,NM,tv,stringent,50,0.0477,0.0729,79806.9026,122222.1086
Last 12 months,NV,tv,lenient,50,0.0863,0.1067,213604.9167,264202.6286
Last 12 months,NV,tv,stringent,50,0.0539,0.1067,133334.2578,264202.6286
Last 12 months,NY,tv,lenient,50,0.0853,0.0716,1335127.7350,1122088.8296
Last 12 months,NY,tv,stringent,50,0.0478,0.0716,747911.4482,1122088.8296
Last 12 months,OH,tv,lenient,50,0.0633,0.0993,619373.2833,970786.0367
Last 12 months,OH,tv,stringent,50,0.0343,0.0993,335715.8895,970786.0367
Last 12 months,OK,tv,lenient,50,0.0369,0.1012,122538.0900,335474.5607
Last 12 months,OK,tv,stringent,50,0.0190,0.1012,63013.0106,335474.5607
Last 12 months,OR,tv,lenient,50,0.0872,0.0712,290507.7085,237714.7211
Last 12 months,OR,tv,stringent,50,0.0514,0.0712,171077.8000,237714.7211
Last 12 months,PA,tv,lenient,50,0.0695,0.1134,734673.6243,1199280.2937
Last 12 months,PA,tv,stringent,50,0.0426,0.1134,449904.4306,1199280.2937
Last 12 months,RI,tv,lenient,50,0.0663,0.0691,63965.3010,66778.1537
Last 12 months,RI,tv,stringent,50,0.0384,0.0691,37012.1400,66778.1537
Last 12 months,SC,tv,lenient,50,0.0466,0.1149,211186.4273,520269.7782
Last 12 months,SC,tv,stringent,50,0.0262,0.1149,118658.7095,520269.7782
Last 12 months,SD,tv,lenient,50,0.0861,0.1982,55666.2272,128702.4030
Last 12 months,SD,tv,stringent,50,0.0769,0.1982,49599.4902,128702.4030
Last 12 months,TN,tv,lenient,50,0.0538,0.1116,331119.1969,686416.6349
Last 12 months,TN,tv,stringent,50,0.0302,0.1116,185750.5519,686416.6349
Last 12 months,TX,tv,lenient,50,0.0461,0.0649,1144323.0666,1611304.2954
Last 12 months,TX,tv,stringent,50,0.0256,0.0649,636258.5949,1611304.2954
Last 12 months,UT,tv,lenient,50,0.0345,0.0815,91577.2244,216775.1219
Last 12 months,UT,tv,stringent,50,0.0145,0.0815,38512.9859,216775.1219
Last 12 months,VA,tv,lenient,50,0.0817,0.0925,611276.0728,692412.3357
Last 12 months,VA,tv,stringent,50,0.0384,0.0925,287141.8924,692412.3357
Last 12 months,VT,tv,lenient,50,0.1195,0.0488,56047.9428,22517.6218
Last 12 months,VT,tv,stringent,50,0.0704,0.0488,32787.1914,22517.6218
Last 12 months,WA,tv,lenient,50,0.0718,0.0705,450332.3937,442824.6674
Last 12 months,WA,tv,stringent,50,0.0434,0.0705,272124.3867,442824.6674
Last 12 months,WI,tv,lenient,50,0.0495,0.0744,251235.4538,377475.0956
Last 12 months,WI,tv,stringent,50,0.0285,0.0744,144790.0378,377475.0956
Last 12 months,WV,tv,lenient,50,0.0514,0.1239,84497.8605,203961.1602
Last 12 months,WV,tv,stringent,50,0.0288,0.1239,47287.8607,203961.1602
Last 12 months,WY,tv,lenient,50,0.0682,0.0755,26335.2344,30234.4425
Last 12 months,WY,tv,stringent,50,0.0169,0.0755,6568.6909,30234.4425
Last 3 months,AK,tv,lenient,50,0.0578,0.0729,12683.7459,15979.8903
Last 3 months,AK,tv,stringent,50,0.0445,0.0729,10111.9824,15979.8903
Last 3 months,AL,tv,lenient,50,0.0322,0.1140,129040.9690,457046.1925
Last 3 months,AL,tv,stringent,50,0.0205,0.1140,81973.4848,457046.1925
Last 3 months,AR,tv,lenient,50,0.0451,0.1238,104527.6782,288260.3337
Last 3 months,AR,tv,stringent,50,0.0226,0.1238,52370.5227,288260.3337
Last 3 months,AZ,tv,lenient,50,0.0657,0.0862,395823.3292,519568.4205
Last 3 months,AZ,tv,stringent,50,0.0326,0.0862,196066.6954,519568.4205
Last 3 months,CA,tv,lenient,50,0.0724,0.0560,2350116.4788,1817797.7867
Last 3 months,CA,tv,stringent,50,0.0416,0.0560,1349035.3039,1817797.7867
Last 3 months,CO,tv,lenient,50,0.0697,0.0655,315710.9542,297028.9139
Last 3 months,CO,tv,stringent,50,0.0356,0.0655,161102.1613,297028.9139
Last 3 months,CT,tv,lenient,50,0.0744,0.0871,221070.2172,258741.1609
Last 3 months,CT,tv,stringent,50,0.0442,0.0871,131345.5606,258741.1609
Last 3 months,DC,tv,lenient,50,0.1065,0.0098,62136.6096,5573.1193
Last 3 months,DC,tv,stringent,50,0.0633,0.0098,37086.8444,5573.1193
Last 3 months,DE,tv,lenient,50,0.0750,0.0529,72528.1121,51081.3774
Last 3 months,DE,tv,stringent,50,0.0286,0.0529,27664.6360,51081.3774
Last 3 months,FL,tv,lenient,50,0.0675,0.1042,1258249.1909,1943753.5928
Last 3 months,FL,tv,stringent,50,0.0397,0.1042,739751.4551,1943753.5928
Last 3 months,GA,tv,lenient,50,0.0637,0.0913,592979.9454,850351.5627
Last 3 months,GA,tv,stringent,50,0.0330,0.0913,307776.0507,850351.5627
Last 3 months,HI,tv,lenient,50,0.1206,0.0490,119609.3880,49010.4613
Last 3 months,HI,tv,stringent,50,0.0689,0.0490,68121.2918,49010.4613
Last 3 months,IA,tv,lenient,50,0.0528,0.0803,136680.2956,208058.3862
Last 3 months,IA,tv,stringent,50,0.0329,0.0803,85087.2126,208058.3862
Last 3 months,ID,tv,lenient,50,0.0265,0.1085,36733.3547,149585.0308
Last 3 months,ID,tv,stringent,50,0.0228,0.1085,31497.8278,149585.0308
Last 3 months,IL,tv,lenient,50,0.0555,0.0652,609396.0184,715410.5864
Last 3 months,IL,tv,stringent,50,0.0325,0.0652,356903.1148,715410.5864
Last 3 months,IN,tv,lenient,50,0.0461,0.0903,272601.7031,534427.0562
Last 3 months,IN,tv,stringent,50,0.0227,0.0903,134550.9694,534427.0562
Last 3 months,KS,tv,lenient,50,0.0442,0.0944,116698.6169,248980.4510
Last 3 months,KS,tv,stringent,50,0.0248,0.0944,65218.9905,248980.4510
Last 3 months,KY,tv,lenient,50,0.0370,0.0846,136794.7152,312715.6617
Last 3 months,KY,tv,stringent,50,0.0205,0.0846,75806.2668,312715.6617
Last 3 months,LA,tv,lenient,50,0.0454,0.0692,176948.9953,269469.8342
Last 3 months,LA,tv,stringent,50,0.0330,0.0692,128623.2224,269469.8342
Last 3 months,MA,tv,lenient,50,0.0856,0.0439,500803.9379,256821.5780
Last 3 months,MA,tv,stringent,50,0.0430,0.0439,251813.5576,256821.5780
Last 3 months,MD,tv,lenient,50,0.1112,0.0609,584293.4207,320160.3550
Last 3 months,MD,tv,stringent,50,0.0640,0.0609,336213.4350,320160.3550
Last 3 months,ME,tv,lenient,50,0.1450,0.0403,154881.1720,43059.1761
Last 3 months,ME,tv,stringent,50,0.0566,0.0403,60582.4474,43059.1761
Last 3 months,MI,tv,lenient,50,0.0711,0.0865,604471.1247,735435.0271
Last 3 months,MI,tv,stringent,50,0.0351,0.0865,298774.9665,735435.0271
Last 3 months,MN,tv,lenient,50,0.0465,0.0688,216821.9789,320246.6541
Last 3 months,MN,tv,stringent,50,0.0242,0.0688,112542.6488,320246.6541
Last 3 months,MO,tv,lenient,50,0.0615,0.0931,313375.0604,474487.7173
Last 3 months,MO,tv,stringent,50,0.0415,0.0931,211477.4873,474487.7173
Last 3 months,MS,tv,lenient,50,0.0153,0.0804,35369.0048,185887.3374
Last 3 months,MS,tv,stringent,50,0.0039,0.0804,9082.2944,185887.3374
Last 3 months,MT,tv,lenient,50,0.0489,0.0991,48475.3638,98273.6852
Last 3 months,MT,tv,stringent,50,0.0338,0.0991,33676.0841,98273.6852
Last 3 months,NC,tv,lenient,50,0.0626,0.0870,594051.5417,826386.5092
Last 3 months,NC,tv,stringent,50,0.0350,0.0870,332382.4549,826386.5092
Last 3 months,ND,tv,lenient,50,0.0229,0.1381,12617.7082,78356.0034
Last 3 months,ND,tv,stringent,50,0.0229,0.1381,12617.7082,78356.0034
Last 3 months,NE,tv,lenient,50,0.0195,0.0859,33840.3154,150206.8172
Last 3 months,NE,tv,stringent,50,0.0107,0.0859,18504.3739,150206.8172
Last 3 months,NH,tv,lenient,50,0.0619,0.0911,80027.7349,117961.5188
Last 3 months,NH,tv,stringent,50,0.0463,0.0911,59948.8257,117961.5188
Last 3 months,NJ,tv,lenient,50,0.0830,0.0812,676656.5609,661627.3470
Last 3 months,NJ,tv,stringent,50,0.0419,0.0812,341623.6356,661627.3470
Last 3 months,NM,tv,lenient,50,0.0811,0.0636,133238.8295,104498.8350
Last 3 months,NM,tv,stringent,50,0.0505,0.0636,82997.5048,104498.8350
Last 3 months,NV,tv,lenient,50,0.0846,0.1085,214901.9714,275585.0107
Last 3 months,NV,tv,stringent,50,0.0576,0.1085,146338.1925,275585.0107
Last 3 months,NY,tv,lenient,50,0.0832,0.0691,1291836.2926,1073308.4900
Last 3 months,NY,tv,stringent,50,0.0476,0.0691,739462.7574,1073308.4900
Last 3 months,OH,tv,lenient,50,0.0647,0.0898,627805.8664,871156.7773
Last 3 months,OH,tv,stringent,50,0.0336,0.0898,325688.6414,871156.7773
Last 3 months,OK,tv,lenient,50,0.0423,0.0975,143743.4892,331388.5077
Last 3 months,OK,tv,stringent,50,0.0225,0.0975,76453.6183,331388.5077
Last 3 months,OR,tv,lenient,50,0.0967,0.0652,319399.6874,215473.8704
Last 3 months,OR,tv,stringent,50,0.0588,0.0652,194179.0162,215473.8704
Last 3 months,PA,tv,lenient,50,0.0648,0.1091,695510.4592,1171564.8936
Last 3 months,PA,tv,stringent,50,0.0408,0.1091,437932.6264,1171564.8936
Last 3 months,RI,tv,lenient,50,0.0698,0.0689,66013.0835,65197.6738
Last 3 months,RI,tv,stringent,50,0.0437,0.0689,41320.7312,65197.6738
Last 3 months,SC,tv,lenient,50,0.0451,0.1071,207498.0313,491953.5380
Last 3 months,SC,tv,stringent,50,0.0273,0.1071,125667.5099,491953.5380
Last 3 months,SD,tv,lenient,50,0.0489,0.2242,33383.1239,152113.3719
Last 3 months,SD,tv,stringent,50,0.0402,0.2242,27321.6616,152113.3719
Last 3 months,TN,tv,lenient,50,0.0504,0.1010,310666.2037,622697.5723
Last 3 months,TN,tv,stringent,50,0.0303,0.1010,186891.5916,622697.5723
Last 3 months,TX,tv,lenient,50,0.0462,0.0591,1164124.2590,1491226.8476
Last 3 months,TX,tv,stringent,50,0.0259,0.0591,653833.6320,1491226.8476
Last 3 months,UT,tv,lenient,50,0.0326,0.0861,89635.7194,237108.1224
Last 3 months,UT,tv,stringent,50,0.0147,0.0861,40461.5154,237108.1224
Last 3 months,VA,tv,lenient,50,0.0784,0.0810,598923.1356,618412.3602
Last 3 months,VA,tv,stringent,50,0.0372,0.0810,283514.3445,618412.3602
Last 3 months,VT,tv,lenient,50,0.0932,0.0625,41786.7098,27550.5080
Last 3 months,VT,tv,stringent,50,0.0693,0.0625,31104.0742,27550.5080
Last 3 months,WA,tv,lenient,50,0.0735,0.0679,457655.2891,423111.9693
Last 3 months,WA,tv,stringent,50,0.0487,0.0679,303523.7536,423111.9693
Last 3 months,WI,tv,lenient,50,0.0457,0.0698,239698.0310,367167.5632
Last 3 months,WI,tv,stringent,50,0.0304,0.0698,159724.7108,367167.5632
Last 3 months,WV,tv,lenient,50,0.0543,0.0897,88186.4890,145940.8596
Last 3 months,WV,tv,stringent,50,0.0326,0.0897,53001.6712,145940.8596
Last 3 months,WY,tv,lenient,50,0.0043,0.0803,1771.1799,34461.6258
Last 3 months,WY,tv,stringent,50,0.0031,0.0803,1282.6688,34461.6258
Last 6 months,AK,tv,lenient,50,0.0722,0.0704,19210.9757,17949.3119
Last 6 months,AK,tv,stringent,50,0.0618,0.0704,16831.8144,17949.3119
Last 6 months,AL,tv,lenient,50,0.0395,0.1199,160465.1858,484615.0525
Last 6 months,AL,tv,stringent,50,0.0231,0.1199,93602.9721,484615.0525
