start year,start month,end year,end month,from,Hard Broadcast News,Left Wing Cable,No or Minimal News,Other Cable,Right Wing Cable,Soft Broadcast News,Spanish News
2016,1,2016,2,Hard Broadcast News,,1079616.449,1265232.952,36809.622,,248078.722,
2016,1,2016,2,No or Minimal News,,49794.407,,,,,
2016,1,2016,2,Other Cable,,115778.344,326224.987,,,,
2016,1,2016,2,Right Wing Cable,676535.325,969615.948,450159.006,218537.881,,142219.353,
2016,1,2016,2,Soft Broadcast News,,227610.092,1030223.236,98930.252,,,
2016,1,2016,2,Spanish News,117579.993,41565.967,791200.679,109490.825,3229.789,59550.068,
2016,1,2016,3,Hard Broadcast News,,4156858.424,2599479.952,1330468.164,954302.562,1856782.682,
2016,1,2016,3,No or Minimal News,,643410.953,,,24410.226,,
2016,1,2016,3,Other Cable,,644829.198,236100.505,,,,
2016,1,2016,3,Right Wing Cable,,263017.016,,55652.446,,,
2016,1,2016,3,Soft Broadcast News,,788814.171,972255.645,209286.619,278873.715,,
2016,1,2016,3,Spanish News,97467.134,144504.896,1129348.895,246839.139,43274.959,169534.865,
2016,1,2016,4,Hard Broadcast News,,2459272.012,3770433.638,836936.169,,1166686.894,
2016,1,2016,4,Left Wing Cable,,,683416.087,,,,
2016,1,2016,4,Other Cable,,178219.534,1396108.526,,,37691.800,
2016,1,2016,4,Right Wing Cable,186130.461,140746.983,1086050.716,298574.000,,229698.553,
2016,1,2016,4,Soft Broadcast News,,220481.249,1621454.265,,,,
2016,1,2016,4,Spanish News,94510.799,64658.878,1364282.552,172436.582,4806.406,198382.290,
2016,1,2016,5,Hard Broadcast News,,1722401.471,4587021.597,664091.656,,1479558.986,
2016,1,2016,5,Left Wing Cable,,,1250422.627,43928.931,,217432.076,
2016,1,2016,5,Other Cable,,,1889206.711,,,96328.590,
2016,1,2016,5,Right Wing Cable,10108.831,68994.325,1243859.178,257243.176,,190717.451,4962.810
2016,1,2016,5,Soft Broadcast News,,,1591447.798,,,,
2016,1,2016,5,Spanish News,109583.633,53868.824,1474312.331,292152.443,,174136.738,
2016,1,2016,6,Hard Broadcast News,,2500385.871,3978900.751,888802.557,275586.186,,
2016,1,2016,6,Left Wing Cable,,,890022.478,,80171.254,,
2016,1,2016,6,Other Cable,,349308.752,1586594.848,,,,
2016,1,2016,6,Right Wing Cable,,,1246055.397,191221.788,,,10447.931
2016,1,2016,6,Soft Broadcast News,502716.622,337292.267,2384674.500,541505.309,21470.592,,
2016,1,2016,6,Spanish News,71198.171,100180.297,1606716.912,253497.645,,173280.706,
2016,1,2016,7,Hard Broadcast News,,5550445.178,3408938.239,1235882.282,1332751.356,,
2016,1,2016,7,Left Wing Cable,,,,,136524.927,,
2016,1,2016,7,No or Minimal News,,610989.212,,,,,
2016,1,2016,7,Other Cable,,1456070.439,1159165.328,,372608.833,,
2016,1,2016,7,Right Wing Cable,,,612282.353,,,,3448.518
2016,1,2016,7,Soft Broadcast News,3826866.449,1913321.485,2957453.061,1273602.235,918922.712,,
2016,1,2016,7,Spanish News,211761.780,256490.912,1580235.460,327428.007,,133507.839,
2016,1,2016,8,Hard Broadcast News,,2595019.436,5026972.303,1705056.927,486349.130,1479721.648,
2016,1,2016,8,Left Wing Cable,,,1392888.304,,488030.185,28400.451,
2016,1,2016,8,Other Cable,,415528.729,1786571.457,,4837.187,,
2016,1,2016,8,Right Wing Cable,,,1504831.288,,,57341.514,27082.873
2016,1,2016,8,Soft Broadcast News,,,2131819.803,399644.590,,,
2016,1,2016,8,Spanish News,15256.651,55989.041,1701959.847,192575.620,,176360.807,
2016,1,2016,9,Hard Broadcast News,,2648302.627,1109215.096,,247332.912,,
2016,1,2016,9,Left Wing Cable,,,255242.068,,465705.538,,
2016,1,2016,9,Other Cable,65099.447,1138167.486,2205730.779,,237164.985,,
2016,1,2016,9,Right Wing Cable,,,1029552.727,,,,12887.616
2016,1,2016,9,Soft Broadcast News,1570547.074,334094.090,2388127.375,198690.620,277086.757,,
2016,1,2016,9,Spanish News,97768.794,155925.464,1645060.555,156956.292,,204313.183,
2016,1,2016,10,Hard Broadcast News,,3645792.235,,,880768.371,,
2016,1,2016,10,Left Wing Cable,,,,,796230.991,,
2016,1,2016,10,No or Minimal News,726037.113,234022.428,,,,,
2016,1,2016,10,Other Cable,753001.993,1741018.601,1918819.569,,293676.453,,
2016,1,2016,10,Right Wing Cable,,,871523.895,,,,3422.018
2016,1,2016,10,Soft Broadcast News,3063104.533,995964.435,2138268.326,18299.225,629573.104,,
2016,1,2016,10,Spanish News,247745.030,176021.874,1549169.059,190379.082,,251059.348,
2016,1,2016,11,Hard Broadcast News,,5937822.415,,,3167831.919,,
2016,1,2016,11,Left Wing Cable,,,,,1023864.109,,
2016,1,2016,11,No or Minimal News,3784949.782,2292925.082,,,575867.483,,
2016,1,2016,11,Other Cable,1314741.078,2588202.118,1634274.011,,890348.220,,
2016,1,2016,11,Soft Broadcast News,3076717.463,1182749.403,1560958.213,2582.895,1405394.727,,
2016,1,2016,11,Spanish News,152178.786,193586.541,1187381.427,150175.756,2107.337,219281.479,
2016,1,2016,12,Hard Broadcast News,,2115867.673,3225298.915,,1472041.230,1518394.619,
2016,1,2016,12,Left Wing Cable,,,2385887.468,,1196988.854,1065672.941,
2016,1,2016,12,Other Cable,149429.790,916106.606,2626923.248,,177034.958,424167.194,
2016,1,2016,12,Right Wing Cable,,,1698017.599,,,,
2016,1,2016,12,Soft Broadcast News,,,1932159.653,,100147.958,,
2016,1,2016,12,Spanish News,185617.240,24177.893,2109558.452,144057.183,15494.862,317981.399,
2016,1,2017,1,Hard Broadcast News,,4047204.319,1440563.657,,2616526.101,,
2016,1,2017,1,Left Wing Cable,,,1058452.855,,1120343.467,,
2016,1,2017,1,Other Cable,264888.048,1455719.928,1769801.377,,555380.281,,
2016,1,2017,1,Right Wing Cable,,,861470.534,,,,
2016,1,2017,1,Soft Broadcast News,2420381.768,318234.478,2356086.169,102035.064,852952.765,,
2016,1,2017,1,Spanish News,130288.530,98086.409,1533343.194,188724.861,22408.604,223786.495,
2016,1,2017,2,Hard Broadcast News,,4256867.589,5151717.462,309214.155,2353041.722,,
2016,1,2017,2,Left Wing Cable,,,2218203.572,,1249433.873,,
2016,1,2017,2,Other Cable,,1226636.012,2633248.491,,315254.030,,
2016,1,2017,2,Right Wing Cable,,,1913825.455,,,,
2016,1,2017,2,Soft Broadcast News,284401.270,306978.343,3616791.785,86533.598,674789.970,,
2016,1,2017,2,Spanish News,167405.232,202166.641,1906357.471,166434.632,12026.373,253869.577,
2016,1,2017,3,Hard Broadcast News,,4435683.468,6050303.392,814915.295,1762233.373,201519.696,
2016,1,2017,3,Left Wing Cable,,,2515997.162,,1254300.941,,
2016,1,2017,3,Other Cable,,1229839.860,2846615.901,,109562.608,,
2016,1,2017,3,Right Wing Cable,,,2489850.379,,,,
2016,1,2017,3,Soft Broadcast News,,74081.191,3892488.929,24814.183,319181.101,,
2016,1,2017,3,Spanish News,116883.134,181437.476,2205799.717,169729.037,8323.523,214907.988,
2016,1,2017,4,Hard Broadcast News,,4636948.263,7421362.354,1101639.483,2016569.542,453221.167,
2016,1,2017,4,Left Wing Cable,,,2499622.139,,1150193.428,,
2016,1,2017,4,Other Cable,,1121168.217,2952641.365,,264909.711,,
2016,1,2017,4,Right Wing Cable,,,2583388.677,,,,
2016,1,2017,4,Soft Broadcast News,,225564.665,4664710.572,291013.300,541515.074,,
2016,1,2017,4,Spanish News,148296.546,202248.681,2695703.689,198226.947,22054.108,189347.700,
2016,1,2017,5,Hard Broadcast News,,4860896.552,7920849.949,741951.356,1565432.958,458769.502,
2016,1,2017,5,Left Wing Cable,,,2500255.477,,1193521.369,,
2016,1,2017,5,Other Cable,,1193070.357,3120456.514,,,,
2016,1,2017,5,Right Wing Cable,,,2846070.762,161517.139,,,
2016,1,2017,5,Soft Broadcast News,,350016.048,4728265.453,148903.522,360950.213,,
2016,1,2017,5,Spanish News,108868.783,208394.198,2894697.205,158752.857,2850.074,235071.343,
2016,1,2017,6,Hard Broadcast News,,4756603.938,8072087.313,386280.051,1530418.013,,
2016,1,2017,6,Left Wing Cable,,,2956379.324,,1184957.640,,
2016,1,2017,6,Other Cable,,1003835.867,4156647.325,,,,
2016,1,2017,6,Right Wing Cable,,,2926275.418,52298.543,,,
2016,1,2017,6,Soft Broadcast News,2532858.169,503885.032,5794475.550,483595.509,445044.548,,
2016,1,2017,6,Spanish News,185599.603,216146.938,3216640.925,124808.111,6860.419,198198.234,
2016,1,2017,7,Hard Broadcast News,,5164412.895,10509937.838,1296516.022,1246590.832,,
2016,1,2017,7,Left Wing Cable,,,3397972.403,,1162005.311,,
2016,1,2017,7,Other Cable,,1271887.339,4849031.556,,,,
2016,1,2017,7,Right Wing Cable,,,3658573.718,474893.991,,,
2016,1,2017,7,Soft Broadcast News,1072539.848,442869.295,6575895.353,159921.192,267650.197,,
2016,1,2017,7,Spanish News,179334.118,232309.696,3540172.389,151420.251,3388.290,195348.340,
2016,1,2017,8,Hard Broadcast News,,6139264.734,7804425.741,1173698.958,1590729.961,,
2016,1,2017,8,Left Wing Cable,,,2523503.242,,1123896.956,,
2016,1,2017,8,Other Cable,,1387346.403,3894573.136,,,,
2016,1,2017,8,Right Wing Cable,,,3009054.072,302270.055,,,
2016,1,2017,8,Soft Broadcast News,1096285.913,909057.973,5581404.901,80293.902,508488.681,,
2016,1,2017,8,Spanish News,187407.053,296225.600,3118329.679,120532.509,7039.483,212515.534,
2016,1,2017,9,Hard Broadcast News,,6717833.078,7767050.844,656541.593,1834476.838,,37421.558
2016,1,2017,9,Left Wing Cable,,,1975504.653,,1024312.727,,
2016,1,2017,9,Other Cable,,1535363.935,4200193.648,,,87459.823,40084.982
2016,1,2017,9,Right Wing Cable,,,2971316.887,192687.685,,,39929.340
2016,1,2017,9,Soft Broadcast News,4330.292,1055254.516,4983727.178,,391073.928,,
2016,1,2017,9,Spanish News,,202782.327,2390232.850,,,154285.789,
2016,1,2017,10,Hard Broadcast News,,5094315.645,7224940.563,847757.326,1748894.219,,
2016,1,2017,10,Left Wing Cable,,,2693990.548,,1328910.580,,
2016,1,2017,10,Other Cable,,809443.796,3852424.272,,,,
2016,1,2017,10,Right Wing Cable,,,3068809.192,110698.842,,,20046.021
2016,1,2017,10,Soft Broadcast News,460997.840,403336.744,5297454.140,226484.334,488399.052,,
2016,1,2017,10,Spanish News,119220.446,268140.788,3315418.255,68900.837,,309782.418,
2016,1,2017,11,Hard Broadcast News,,4735802.397,7905904.629,729851.122,1448957.491,1421023.589,
2016,1,2017,11,Left Wing Cable,,,3346385.191,,1438065.870,64156.803,
2016,1,2017,11,Other Cable,,659895.663,3996193.510,,,122471.870,
2016,1,2017,11,Right Wing Cable,,,3550077.292,306018.566,,,49280.107
2016,1,2017,11,Soft Broadcast News,,,5282175.497,,44836.685,,
2016,1,2017,11,Spanish News,135433.342,265142.088,3591838.427,104574.570,,317816.947,
2016,1,2017,12,Hard Broadcast News,,5083184.987,8268267.631,99867.256,1029881.842,275338.114,
2016,1,2017,12,Left Wing Cable,,,3058471.815,,1393026.967,,
2016,1,2017,12,Other Cable,,1046142.943,5190998.051,,,249517.695,
2016,1,2017,12,Right Wing Cable,,,3520111.424,333380.776,,,46898.014
2016,1,2017,12,Soft Broadcast News,,36684.262,5453490.478,,55469.441,,
2016,1,2017,12,Spanish News,197910.239,239685.223,3820709.543,137005.769,,331395.684,
2016,1,2018,1,Hard Broadcast News,,4555323.568,7063453.019,23395.321,964230.875,,
2016,1,2018,1,Left Wing Cable,,,3523884.557,,1369944.612,198182.028,
2016,1,2018,1,Other Cable,,747573.846,4792100.438,,,260659.018,
2016,1,2018,1,Right Wing Cable,,,3432603.263,235840.002,,,92847.433
2016,1,2018,1,Soft Broadcast News,107991.821,,5356621.930,,134447.667,,
2016,1,2018,1,Spanish News,187781.885,206806.352,3380244.027,31305.801,,259817.362,
2016,1,2018,2,Hard Broadcast News,,5012345.029,9792091.707,629740.147,994812.580,737076.264,
2016,1,2018,2,Left Wing Cable,,,4187650.584,,1425501.493,234412.643,
2016,1,2018,2,Other Cable,,476625.246,5630647.678,,,27246.449,
2016,1,2018,2,Right Wing Cable,,,4011537.719,214939.845,,,62213.270
2016,1,2018,2,Soft Broadcast News,,,6367325.445,,117199.992,,
2016,1,2018,2,Spanish News,261607.153,251628.483,3785397.674,85110.361,,354588.261,
2016,1,2018,3,Hard Broadcast News,,4949015.635,9757881.777,844757.701,778212.406,692894.650,
2016,1,2018,3,Left Wing Cable,,,4002539.516,,1407835.559,133937.437,
2016,1,2018,3,Other Cable,,314072.711,5083911.461,,,,
2016,1,2018,3,Right Wing Cable,,,4193726.907,321467.569,,11484.972,74019.055
2016,1,2018,3,Soft Broadcast News,,,6800501.501,148082.847,,,
2016,1,2018,3,Spanish News,252434.529,241434.487,3846328.721,80673.400,,336881.920,
2016,1,2018,4,Hard Broadcast News,,5084405.136,10954195.356,509818.368,989542.433,,
2016,1,2018,4,Left Wing Cable,,,4244537.862,,1371389.056,,
2016,1,2018,4,Other Cable,,440921.185,5843268.455,,,,
2016,1,2018,4,Right Wing Cable,,,4147188.371,251158.622,,,48850.138
