year,month,medium,gender,age_group,political_lean,partisanship_scenario,diet_threshold,value
2016,1,tv,All,All,L,lenient,50,0.047
2016,2,tv,All,All,L,lenient,50,0.057
2016,3,tv,All,All,L,lenient,50,0.071
2016,4,tv,All,All,L,lenient,50,0.061
2016,5,tv,All,All,L,lenient,50,0.056
2016,6,tv,All,All,L,lenient,50,0.066
2016,7,tv,All,All,L,lenient,50,0.087
2016,8,tv,All,All,L,lenient,50,0.066
2016,9,tv,All,All,L,lenient,50,0.068
2016,10,tv,All,All,L,lenient,50,0.073
2016,11,tv,All,All,L,lenient,50,0.093
2016,12,tv,All,All,L,lenient,50,0.055
2017,1,tv,All,All,L,lenient,50,0.072
2017,2,tv,All,All,L,lenient,50,0.071
2017,3,tv,All,All,L,lenient,50,0.071
2017,4,tv,All,All,L,lenient,50,0.073
2017,5,tv,All,All,L,lenient,50,0.074
2017,6,tv,All,All,L,lenient,50,0.073
2017,7,tv,All,All,L,lenient,50,0.074
2017,8,tv,All,All,L,lenient,50,0.077
2017,9,tv,All,All,L,lenient,50,0.080
2017,11,tv,All,All,L,lenient,50,0.076
2017,12,tv,All,All,L,lenient,50,0.079
2018,1,tv,All,All,L,lenient,50,0.076
2018,2,tv,All,All,L,lenient,50,0.076
2018,3,tv,All,All,L,lenient,50,0.077
2018,4,tv,All,All,L,lenient,50,0.078
2018,5,tv,All,All,L,lenient,50,0.077
2018,6,tv,All,All,L,lenient,50,0.074
2018,7,tv,All,All,L,lenient,50,0.076
2018,8,tv,All,All,L,lenient,50,0.078
2018,9,tv,All,All,L,lenient,50,0.080
2018,10,tv,All,All,L,lenient,50,0.076
2018,11,tv,All,All,L,lenient,50,0.083
2018,12,tv,All,All,L,lenient,50,0.081
2019,1,tv,All,All,L,lenient,50,0.078
2019,2,tv,All,All,L,lenient,50,0.075
2019,3,tv,All,All,L,lenient,50,0.068
2019,4,tv,All,All,L,lenient,50,0.065
2019,5,tv,All,All,L,lenient,50,0.063
2019,6,tv,All,All,L,lenient,50,0.065
2019,7,tv,All,All,L,lenient,50,0.075
2019,8,tv,All,All,L,lenient,50,0.070
2019,9,tv,All,All,L,lenient,50,0.067
2019,10,tv,All,All,L,lenient,50,0.077
2019,11,tv,All,All,L,lenient,50,0.074
2019,12,tv,All,All,L,lenient,50,0.073
2020,1,tv,All,All,L,lenient,50,0.081
2020,2,tv,All,All,L,lenient,50,0.073
2020,3,tv,All,All,L,lenient,50,0.097
2020,4,tv,All,All,L,lenient,50,0.090
2020,5,tv,All,All,L,lenient,50,0.094
2020,6,tv,All,All,L,lenient,50,0.092
2020,7,tv,All,All,L,lenient,50,0.083
2020,8,tv,All,All,L,lenient,50,0.087
2020,9,tv,All,All,L,lenient,50,0.081
2020,10,tv,All,All,L,lenient,50,0.091
2020,11,tv,All,All,L,lenient,50,0.130
2020,12,tv,All,All,L,lenient,50,0.092
2021,1,tv,All,All,L,lenient,50,0.131
2021,2,tv,All,All,L,lenient,50,0.092
2021,3,tv,All,All,L,lenient,50,0.073
2021,4,tv,All,All,L,lenient,50,0.073
2021,5,tv,All,All,L,lenient,50,0.065
2021,6,tv,All,All,L,lenient,50,0.061
2021,7,tv,All,All,L,lenient,50,0.061
2021,8,tv,All,All,L,lenient,50,0.063
2021,9,tv,All,All,L,lenient,50,0.056
2021,10,tv,All,All,L,lenient,50,0.048
2021,11,tv,All,All,L,lenient,50,0.048
2021,12,tv,All,All,L,lenient,50,0.052
2022,1,tv,All,All,L,lenient,50,0.045
2022,2,tv,All,All,L,lenient,50,0.060
2022,3,tv,All,All,L,lenient,50,0.065
2022,4,tv,All,All,L,lenient,50,0.050
2022,5,tv,All,All,L,lenient,50,0.049
2022,6,tv,All,All,L,lenient,50,0.050
2022,7,tv,All,All,L,lenient,50,0.050
2022,8,tv,All,All,L,lenient,50,0.049
2022,9,tv,All,All,L,lenient,50,0.051
2022,10,tv,All,All,L,lenient,50,0.043
2022,11,tv,All,All,L,lenient,50,0.000
2022,12,tv,All,All,L,lenient,50,0.000
2023,1,tv,All,All,L,lenient,50,0.000
2023,2,tv,All,All,L,lenient,50,0.000
2023,3,tv,All,All,L,lenient,50,0.000
2023,4,tv,All,All,L,lenient,50,0.000
2023,5,tv,All,All,L,lenient,50,0.000
2023,6,tv,All,All,L,lenient,50,0.000
2023,7,tv,All,All,L,lenient,50,0.000
2023,8,tv,All,All,L,lenient,50,0.000
2023,9,tv,All,All,L,lenient,50,0.000
2023,10,tv,All,All,L,lenient,50,0.000
2023,11,tv,All,All,L,lenient,50,0.000
2016,1,tv,Male,18-24,L,lenient,50,0.040
2016,1,tv,Female,18-24,L,lenient,50,0.040
2016,1,tv,Male,25-34,L,lenient,50,0.048
2016,1,tv,Female,25-34,L,lenient,50,0.037
2016,1,tv,Male,35-44,L,lenient,50,0.054
2016,1,tv,Female,35-44,L,lenient,50,0.039
2016,1,tv,Male,45-54,L,lenient,50,0.054
2016,1,tv,Female,45-54,L,lenient,50,0.040
2016,1,tv,Male,55+,L,lenient,50,0.062
2016,1,tv,Female,55+,L,lenient,50,0.042
2016,2,tv,Male,18-24,L,lenient,50,0.053
2016,2,tv,Female,18-24,L,lenient,50,0.037
2016,2,tv,Male,25-34,L,lenient,50,0.063
2016,2,tv,Female,25-34,L,lenient,50,0.045
2016,2,tv,Male,35-44,L,lenient,50,0.065
2016,2,tv,Female,35-44,L,lenient,50,0.046
2016,2,tv,Male,45-54,L,lenient,50,0.069
2016,2,tv,Female,45-54,L,lenient,50,0.051
2016,2,tv,Male,55+,L,lenient,50,0.072
2016,2,tv,Female,55+,L,lenient,50,0.051
2016,3,tv,Male,18-24,L,lenient,50,0.069
2016,3,tv,Female,18-24,L,lenient,50,0.054
2016,3,tv,Male,25-34,L,lenient,50,0.080
2016,3,tv,Female,25-34,L,lenient,50,0.054
2016,3,tv,Male,35-44,L,lenient,50,0.085
2016,3,tv,Female,35-44,L,lenient,50,0.056
2016,3,tv,Male,45-54,L,lenient,50,0.077
2016,3,tv,Female,45-54,L,lenient,50,0.061
2016,3,tv,Male,55+,L,lenient,50,0.089
2016,3,tv,Female,55+,L,lenient,50,0.065
2016,4,tv,Male,18-24,L,lenient,50,0.053
2016,4,tv,Female,18-24,L,lenient,50,0.049
2016,4,tv,Male,25-34,L,lenient,50,0.070
2016,4,tv,Female,25-34,L,lenient,50,0.050
2016,4,tv,Male,35-44,L,lenient,50,0.071
2016,4,tv,Female,35-44,L,lenient,50,0.046
2016,4,tv,Male,45-54,L,lenient,50,0.069
2016,4,tv,Female,45-54,L,lenient,50,0.055
2016,4,tv,Male,55+,L,lenient,50,0.075
2016,4,tv,Female,55+,L,lenient,50,0.054
2016,5,tv,Male,18-24,L,lenient,50,0.051
2016,5,tv,Female,18-24,L,lenient,50,0.043
2016,5,tv,Male,25-34,L,lenient,50,0.061
2016,5,tv,Female,25-34,L,lenient,50,0.041
2016,5,tv,Male,35-44,L,lenient,50,0.070
2016,5,tv,Female,35-44,L,lenient,50,0.045
2016,5,tv,Male,45-54,L,lenient,50,0.063
2016,5,tv,Female,45-54,L,lenient,50,0.054
2016,5,tv,Male,55+,L,lenient,50,0.073
2016,5,tv,Female,55+,L,lenient,50,0.049
2016,6,tv,Male,18-24,L,lenient,50,0.055
2016,6,tv,Female,18-24,L,lenient,50,0.052
2016,6,tv,Male,25-34,L,lenient,50,0.068
2016,6,tv,Female,25-34,L,lenient,50,0.052
2016,6,tv,Male,35-44,L,lenient,50,0.073
2016,6,tv,Female,35-44,L,lenient,50,0.052
2016,6,tv,Male,45-54,L,lenient,50,0.077
2016,6,tv,Female,45-54,L,lenient,50,0.061
2016,6,tv,Male,55+,L,lenient,50,0.086
2016,6,tv,Female,55+,L,lenient,50,0.064
2016,7,tv,Male,18-24,L,lenient,50,0.078
2016,7,tv,Female,18-24,L,lenient,50,0.066
2016,7,tv,Male,25-34,L,lenient,50,0.087
2016,7,tv,Female,25-34,L,lenient,50,0.073
2016,7,tv,Male,35-44,L,lenient,50,0.097
2016,7,tv,Female,35-44,L,lenient,50,0.071
2016,7,tv,Male,45-54,L,lenient,50,0.092
2016,7,tv,Female,45-54,L,lenient,50,0.076
2016,7,tv,Male,55+,L,lenient,50,0.108
2016,7,tv,Female,55+,L,lenient,50,0.088
2016,8,tv,Male,18-24,L,lenient,50,0.054
2016,8,tv,Female,18-24,L,lenient,50,0.039
2016,8,tv,Male,25-34,L,lenient,50,0.060
2016,8,tv,Female,25-34,L,lenient,50,0.040
2016,8,tv,Male,35-44,L,lenient,50,0.069
2016,8,tv,Female,35-44,L,lenient,50,0.052
2016,8,tv,Male,45-54,L,lenient,50,0.076
2016,8,tv,Female,45-54,L,lenient,50,0.061
2016,8,tv,Male,55+,L,lenient,50,0.089
2016,8,tv,Female,55+,L,lenient,50,0.071
2016,9,tv,Male,18-24,L,lenient,50,0.057
2016,9,tv,Female,18-24,L,lenient,50,0.044
2016,9,tv,Male,25-34,L,lenient,50,0.067
2016,9,tv,Female,25-34,L,lenient,50,0.052
2016,9,tv,Male,35-44,L,lenient,50,0.080
2016,9,tv,Female,35-44,L,lenient,50,0.052
2016,9,tv,Male,45-54,L,lenient,50,0.071
2016,9,tv,Female,45-54,L,lenient,50,0.061
2016,9,tv,Male,55+,L,lenient,50,0.090
2016,9,tv,Female,55+,L,lenient,50,0.070
2016,10,tv,Male,18-24,L,lenient,50,0.056
2016,10,tv,Female,18-24,L,lenient,50,0.046
2016,10,tv,Male,25-34,L,lenient,50,0.064
2016,10,tv,Female,25-34,L,lenient,50,0.053
2016,10,tv,Male,35-44,L,lenient,50,0.074
2016,10,tv,Female,35-44,L,lenient,50,0.057
2016,10,tv,Male,45-54,L,lenient,50,0.074
2016,10,tv,Female,45-54,L,lenient,50,0.072
2016,10,tv,Male,55+,L,lenient,50,0.095
2016,10,tv,Female,55+,L,lenient,50,0.086
2016,11,tv,Male,18-24,L,lenient,50,0.087
2016,11,tv,Female,18-24,L,lenient,50,0.067
2016,11,tv,Male,25-34,L,lenient,50,0.113
2016,11,tv,Female,25-34,L,lenient,50,0.092
2016,11,tv,Male,35-44,L,lenient,50,0.113
2016,11,tv,Female,35-44,L,lenient,50,0.087
2016,11,tv,Male,45-54,L,lenient,50,0.100
2016,11,tv,Female,45-54,L,lenient,50,0.079
2016,11,tv,Male,55+,L,lenient,50,0.102
2016,11,tv,Female,55+,L,lenient,50,0.087
2016,12,tv,Male,18-24,L,lenient,50,0.045
2016,12,tv,Female,18-24,L,lenient,50,0.036
2016,12,tv,Male,25-34,L,lenient,50,0.050
2016,12,tv,Female,25-34,L,lenient,50,0.045
2016,12,tv,Male,35-44,L,lenient,50,0.057
2016,12,tv,Female,35-44,L,lenient,50,0.047
2016,12,tv,Male,45-54,L,lenient,50,0.062
2016,12,tv,Female,45-54,L,lenient,50,0.050
2016,12,tv,Male,55+,L,lenient,50,0.069
2016,12,tv,Female,55+,L,lenient,50,0.059
2017,1,tv,Male,18-24,L,lenient,50,0.057
2017,1,tv,Female,18-24,L,lenient,50,0.050
2017,1,tv,Male,25-34,L,lenient,50,0.075
2017,1,tv,Female,25-34,L,lenient,50,0.061
2017,1,tv,Male,35-44,L,lenient,50,0.080
2017,1,tv,Female,35-44,L,lenient,50,0.062
2017,1,tv,Male,45-54,L,lenient,50,0.076
2017,1,tv,Female,45-54,L,lenient,50,0.065
2017,1,tv,Male,55+,L,lenient,50,0.089
2017,1,tv,Female,55+,L,lenient,50,0.075
2017,2,tv,Male,18-24,L,lenient,50,0.059
2017,2,tv,Female,18-24,L,lenient,50,0.042
2017,2,tv,Male,25-34,L,lenient,50,0.067
2017,2,tv,Female,25-34,L,lenient,50,0.050
2017,2,tv,Male,35-44,L,lenient,50,0.075
2017,2,tv,Female,35-44,L,lenient,50,0.062
2017,2,tv,Male,45-54,L,lenient,50,0.082
2017,2,tv,Female,45-54,L,lenient,50,0.065
2017,2,tv,Male,55+,L,lenient,50,0.089
2017,2,tv,Female,55+,L,lenient,50,0.078
2017,3,tv,Male,18-24,L,lenient,50,0.051
2017,3,tv,Female,18-24,L,lenient,50,0.039
2017,3,tv,Male,25-34,L,lenient,50,0.067
2017,3,tv,Female,25-34,L,lenient,50,0.047
2017,3,tv,Male,35-44,L,lenient,50,0.071
2017,3,tv,Female,35-44,L,lenient,50,0.058
2017,3,tv,Male,45-54,L,lenient,50,0.077
2017,3,tv,Female,45-54,L,lenient,50,0.068
2017,3,tv,Male,55+,L,lenient,50,0.096
2017,3,tv,Female,55+,L,lenient,50,0.080
2017,4,tv,Male,18-24,L,lenient,50,0.050
2017,4,tv,Female,18-24,L,lenient,50,0.042
2017,4,tv,Male,25-34,L,lenient,50,0.066
2017,4,tv,Female,25-34,L,lenient,50,0.049
2017,4,tv,Male,35-44,L,lenient,50,0.077
2017,4,tv,Female,35-44,L,lenient,50,0.065
2017,4,tv,Male,45-54,L,lenient,50,0.085
2017,4,tv,Female,45-54,L,lenient,50,0.067
2017,4,tv,Male,55+,L,lenient,50,0.097
2017,4,tv,Female,55+,L,lenient,50,0.079
2017,5,tv,Male,18-24,L,lenient,50,0.056
2017,5,tv,Female,18-24,L,lenient,50,0.045
2017,5,tv,Male,25-34,L,lenient,50,0.063
2017,5,tv,Female,25-34,L,lenient,50,0.052
2017,5,tv,Male,35-44,L,lenient,50,0.074
2017,5,tv,Female,35-44,L,lenient,50,0.062
2017,5,tv,Male,45-54,L,lenient,50,0.088
2017,5,tv,Female,45-54,L,lenient,50,0.068
2017,5,tv,Male,55+,L,lenient,50,0.098
2017,5,tv,Female,55+,L,lenient,50,0.082
2017,6,tv,Male,18-24,L,lenient,50,0.048
2017,6,tv,Female,18-24,L,lenient,50,0.043
2017,6,tv,Male,25-34,L,lenient,50,0.055
2017,6,tv,Female,25-34,L,lenient,50,0.044
2017,6,tv,Male,35-44,L,lenient,50,0.074
2017,6,tv,Female,35-44,L,lenient,50,0.063
