archetype,delta,start year,start month,end year,end month
No or Minimal News,6418804,2016,1,2016,2
Hard Broadcast News,-4984029,2016,1,2016,2
Soft Broadcast News,-280288,2016,1,2016,2
Partisan Cable (right),-2699530,2016,1,2016,2
Partisan Cable (left),3618393,2016,1,2016,2
Spanish News,-928636,2016,1,2016,2
Other Cable,-1018365,2016,1,2016,2
No or Minimal News,2629503,2016,1,2016,3
Hard Broadcast News,-10894509,2016,1,2016,3
Soft Broadcast News,-847831,2016,1,2016,3
Partisan Cable (right),970086,2016,1,2016,3
Partisan Cable (left),8138248,2016,1,2016,3
Spanish News,-1742030,2016,1,2016,3
Other Cable,1815152,2016,1,2016,3
No or Minimal News,9067470,2016,1,2016,4
Hard Broadcast News,-9250658,2016,1,2016,4
Soft Broadcast News,190855,2016,1,2016,4
Partisan Cable (right),-2418941,2016,1,2016,4
Partisan Cable (left),3545766,2016,1,2016,4
Spanish News,-1666578,2016,1,2016,4
Other Cable,515656,2016,1,2016,4
No or Minimal News,11588938,2016,1,2016,5
Hard Broadcast News,-9582664,2016,1,2016,5
Soft Broadcast News,870059,2016,1,2016,5
Partisan Cable (right),-2256386,2016,1,2016,5
Partisan Cable (left),1555530,2016,1,2016,5
Spanish News,-1606929,2016,1,2016,5
Other Cable,-575624,2016,1,2016,5
No or Minimal News,11123293,2016,1,2016,6
Hard Broadcast News,-10140007,2016,1,2016,6
Soft Broadcast News,-2773278,2016,1,2016,6
Partisan Cable (right),-1607825,2016,1,2016,6
Partisan Cable (left),4249042,2016,1,2016,6
Spanish News,-647798,2016,1,2016,6
Other Cable,-88843,2016,1,2016,6
No or Minimal News,4416137,2016,1,2016,7
Hard Broadcast News,-4540793,2016,1,2016,7
Soft Broadcast News,-12715987,2016,1,2016,7
Partisan Cable (right),1648389,2016,1,2016,7
Partisan Cable (left),11794808,2016,1,2016,7
Spanish News,-2096960,2016,1,2016,7
Other Cable,1495195,2016,1,2016,7
No or Minimal News,9180009,2016,1,2016,8
Hard Broadcast News,-9747683,2016,1,2016,8
Soft Broadcast News,-889278,2016,1,2016,8
Partisan Cable (right),-1245792,2016,1,2016,8
Partisan Cable (left),2669718,2016,1,2016,8
Spanish News,-1591394,2016,1,2016,8
Other Cable,2112122,2016,1,2016,8
No or Minimal News,3100450,2016,1,2016,9
Hard Broadcast News,-83435,2016,1,2016,9
Soft Broadcast News,-3505836,2016,1,2016,9
Partisan Cable (right),162952,2016,1,2016,9
Partisan Cable (left),6009659,2016,1,2016,9
Spanish News,-1290633,2016,1,2016,9
Other Cable,-113827,2016,1,2016,9
No or Minimal News,-813983,2016,1,2016,10
Hard Broadcast News,3947902,2016,1,2016,10
Soft Broadcast News,-6097906,2016,1,2016,10
Partisan Cable (right),1869330,2016,1,2016,10
Partisan Cable (left),8962906,2016,1,2016,10
Spanish News,-1119237,2016,1,2016,10
Other Cable,-2494172,2016,1,2016,10
No or Minimal News,-9664397,2016,1,2016,11
Hard Broadcast News,3264264,2016,1,2016,11
Soft Broadcast News,-7722853,2016,1,2016,11
Partisan Cable (right),7785821,2016,1,2016,11
Partisan Cable (left),14826686,2016,1,2016,11
Spanish News,-742476,2016,1,2016,11
Other Cable,-3349951,2016,1,2016,11
No or Minimal News,9792063,2016,1,2016,12
Hard Broadcast News,-7949696,2016,1,2016,12
Soft Broadcast News,1884214,2016,1,2016,12
Partisan Cable (right),1375889,2016,1,2016,12
Partisan Cable (left),1052776,2016,1,2016,12
Spanish News,-1393531,2016,1,2016,12
Other Cable,-444577,2016,1,2016,12
No or Minimal News,1595141,2016,1,2017,1
Hard Broadcast News,-951954,2016,1,2017,1
Soft Broadcast News,-5500268,2016,1,2017,1
Partisan Cable (right),4550720,2016,1,2017,1
Partisan Cable (left),7064474,2016,1,2017,1
Spanish News,-960892,2016,1,2017,1
Other Cable,-1443913,2016,1,2017,1
No or Minimal News,11287461,2016,1,2017,2
Hard Broadcast News,-8619715,2016,1,2017,2
Soft Broadcast News,-4483980,2016,1,2017,2
Partisan Cable (right),3151553,2016,1,2017,2
Partisan Cable (left),5935153,2016,1,2017,2
Spanish News,-1170072,2016,1,2017,2
Other Cable,-1715239,2016,1,2017,2
No or Minimal News,12052349,2016,1,2017,3
Hard Broadcast News,-10222481,2016,1,2017,3
Soft Broadcast News,-3046456,2016,1,2017,3
Partisan Cable (right),1513039,2016,1,2017,3
Partisan Cable (left),5605298,2016,1,2017,3
Spanish News,-1635883,2016,1,2017,3
Other Cable,100267,2016,1,2017,3
No or Minimal News,15414533,2016,1,2017,4
Hard Broadcast News,-12622018,2016,1,2017,4
Soft Broadcast News,-4249394,2016,1,2017,4
Partisan Cable (right),2072599,2016,1,2017,4
Partisan Cable (left),6376324,2016,1,2017,4
Spanish News,-2047619,2016,1,2017,4
Other Cable,-600303,2016,1,2017,4
No or Minimal News,16422137,2016,1,2017,5
Hard Broadcast News,-13743414,2016,1,2017,5
Soft Broadcast News,-3557233,2016,1,2017,5
Partisan Cable (right),1026765,2016,1,2017,5
Partisan Cable (left),6936453,2016,1,2017,5
Spanish News,-1817968,2016,1,2017,5
Other Cable,-897450,2016,1,2017,5
No or Minimal News,18687693,2016,1,2017,6
Hard Broadcast News,-10379827,2016,1,2017,6
Soft Broadcast News,-7942550,2016,1,2017,6
Partisan Cable (right),1128513,2016,1,2017,6
Partisan Cable (left),6217489,2016,1,2017,6
Spanish News,-1972410,2016,1,2017,6
Other Cable,-1411843,2016,1,2017,6
No or Minimal News,22575302,2016,1,2017,7
Hard Broadcast News,-14167729,2016,1,2017,7
Soft Broadcast News,-7578247,2016,1,2017,7
Partisan Cable (right),-387612,2016,1,2017,7
Partisan Cable (left),6075602,2016,1,2017,7
Spanish News,-2136861,2016,1,2017,7
Other Cable,-106109,2016,1,2017,7
No or Minimal News,14908190,2016,1,2017,8
Hard Broadcast News,-11531429,2016,1,2017,8
Soft Broadcast News,-7242115,2016,1,2017,8
Partisan Cable (right),1341481,2016,1,2017,8
Partisan Cable (left),9576278,2016,1,2017,8
Spanish News,-2164405,2016,1,2017,8
Other Cable,-213448,2016,1,2017,8
No or Minimal News,12362752,2016,1,2017,9
Hard Broadcast News,-13239206,2016,1,2017,9
Soft Broadcast News,-4263646,2016,1,2017,9
Partisan Cable (right),2005536,2016,1,2017,9
Partisan Cable (left),11787627,2016,1,2017,9
Spanish News,-673815,2016,1,2017,9
Other Cable,-1230671,2016,1,2017,9
No or Minimal News,13231927,2016,1,2017,10
Hard Broadcast News,-10786836,2016,1,2017,10
Soft Broadcast News,-3777928,2016,1,2017,10
Partisan Cable (right),2475924,2016,1,2017,10
Partisan Cable (left),7387835,2016,1,2017,10
Spanish News,-1949163,2016,1,2017,10
Other Cable,280312,2016,1,2017,10
No or Minimal News,15733725,2016,1,2017,11
Hard Broadcast News,-12687975,2016,1,2017,11
Soft Broadcast News,-492134,2016,1,2017,11
Partisan Cable (right),924921,2016,1,2017,11
Partisan Cable (left),5216210,2016,1,2017,11
Spanish News,-2211958,2016,1,2017,11
Other Cable,372675,2016,1,2017,11
No or Minimal News,15743812,2016,1,2017,12
Hard Broadcast News,-10132699,2016,1,2017,12
Soft Broadcast News,-3146221,2016,1,2017,12
Partisan Cable (right),517303,2016,1,2017,12
Partisan Cable (left),6258683,2016,1,2017,12
Spanish News,-2395942,2016,1,2017,12
Other Cable,-113702,2016,1,2017,12
No or Minimal News,12791290,2016,1,2018,1
Hard Broadcast News,-7840747,2016,1,2018,1
Soft Broadcast News,-2104340,2016,1,2018,1
Partisan Cable (right),819123,2016,1,2018,1
Partisan Cable (left),4667890,2016,1,2018,1
Spanish News,-1694176,2016,1,2018,1
Other Cable,203824,2016,1,2018,1
No or Minimal News,19962232,2016,1,2018,2
Hard Broadcast News,-12007464,2016,1,2018,2
Soft Broadcast News,-3366756,2016,1,2018,2
Partisan Cable (right),233688,2016,1,2018,2
Partisan Cable (left),3869674,2016,1,2018,2
Spanish News,-2403331,2016,1,2018,2
Other Cable,558192,2016,1,2018,2
No or Minimal News,18843694,2016,1,2018,3
Hard Broadcast News,-11475819,2016,1,2018,3
Soft Broadcast News,-3343554,2016,1,2018,3
Partisan Cable (right),-357489,2016,1,2018,3
Partisan Cable (left),4242883,2016,1,2018,3
Spanish News,-2152040,2016,1,2018,3
Other Cable,1031469,2016,1,2018,3
No or Minimal News,23105442,2016,1,2018,4
Hard Broadcast News,-12295082,2016,1,2018,4
Soft Broadcast News,-5407408,2016,1,2018,4
Partisan Cable (right),324331,2016,1,2018,4
Partisan Cable (left),4342713,2016,1,2018,4
Spanish News,-2156776,2016,1,2018,4
Other Cable,-1084507,2016,1,2018,4
No or Minimal News,21427088,2016,1,2018,5
Hard Broadcast News,-14250484,2016,1,2018,5
Soft Broadcast News,-601135,2016,1,2018,5
Partisan Cable (right),-310928,2016,1,2018,5
Partisan Cable (left),3936825,2016,1,2018,5
Spanish News,-2279550,2016,1,2018,5
Other Cable,-1064723,2016,1,2018,5
No or Minimal News,25790243,2016,1,2018,6
Hard Broadcast News,-11850002,2016,1,2018,6
Soft Broadcast News,-7790528,2016,1,2018,6
Partisan Cable (right),582988,2016,1,2018,6
Partisan Cable (left),2751737,2016,1,2018,6
Spanish News,-1428425,2016,1,2018,6
Other Cable,-1288054,2016,1,2018,6
No or Minimal News,28316503,2016,1,2018,7
Hard Broadcast News,-13526306,2016,1,2018,7
Soft Broadcast News,-8368752,2016,1,2018,7
Partisan Cable (right),-307357,2016,1,2018,7
Partisan Cable (left),3242753,2016,1,2018,7
Spanish News,-2385958,2016,1,2018,7
Other Cable,-249064,2016,1,2018,7
No or Minimal News,27593373,2016,1,2018,8
Hard Broadcast News,-13559980,2016,1,2018,8
Soft Broadcast News,-8042128,2016,1,2018,8
Partisan Cable (right),-1054054,2016,1,2018,8
