year,month,variable,archetype,value
2016,1,sizes,No or Minimal News,58423425.22584
2016,2,sizes,No or Minimal News,64842229.46432
2016,3,sizes,No or Minimal News,61052928.12901
2016,4,sizes,No or Minimal News,67490895.36666
2016,5,sizes,No or Minimal News,70012363.41936
2016,6,sizes,No or Minimal News,69546718.29994
2016,7,sizes,No or Minimal News,62839562.29033
2016,8,sizes,No or Minimal News,67603434.35479
2016,9,sizes,No or Minimal News,61523875.43332
2016,10,sizes,No or Minimal News,57609442.38702
2016,11,sizes,No or Minimal News,48759028.49995
2016,12,sizes,No or Minimal News,68215488.19356
2017,1,sizes,No or Minimal News,60018565.83869
2017,2,sizes,No or Minimal News,69710886.42863
2017,3,sizes,No or Minimal News,70475773.93552
2017,4,sizes,No or Minimal News,73837957.89999
2017,5,sizes,No or Minimal News,74845562.58064
2017,6,sizes,No or Minimal News,77111118.10008
2017,7,sizes,No or Minimal News,80998726.87094
2017,8,sizes,No or Minimal News,73331615.67752
2017,9,sizes,No or Minimal News,70786177.23336
2017,10,sizes,No or Minimal News,71655352.14287
2017,11,sizes,No or Minimal News,74157150.23332
2017,12,sizes,No or Minimal News,74167237.38703
2018,1,sizes,No or Minimal News,71214715.19348
2018,2,sizes,No or Minimal News,78385657.49998
2018,3,sizes,No or Minimal News,77267118.80648
2018,4,sizes,No or Minimal News,81528867.16661
2018,5,sizes,No or Minimal News,79850513.19349
2018,6,sizes,No or Minimal News,84213667.96672
2018,7,sizes,No or Minimal News,86739928.12913
2018,8,sizes,No or Minimal News,86016798.41940
2018,9,sizes,No or Minimal News,80697920.00003
2018,10,sizes,No or Minimal News,82810900.03221
2018,11,sizes,No or Minimal News,77507499.96665
2018,12,sizes,No or Minimal News,81806047.41935
2019,1,sizes,No or Minimal News,84415237.51613
2019,2,sizes,No or Minimal News,86780720.46429
2019,3,sizes,No or Minimal News,87595770.32258
2019,4,sizes,No or Minimal News,93596194.03333
2019,5,sizes,No or Minimal News,92477850.09677
2019,6,sizes,No or Minimal News,93031997.73333
2019,7,sizes,No or Minimal News,96287671.70968
2019,8,sizes,No or Minimal News,97170283.87097
2019,9,sizes,No or Minimal News,93137578.23333
2019,10,sizes,No or Minimal News,93970087.70968
2019,11,sizes,No or Minimal News,92070738.40000
2019,12,sizes,No or Minimal News,90228718.74193
2020,1,sizes,No or Minimal News,88356544.87097
2020,2,sizes,No or Minimal News,91268985.65517
2020,3,sizes,No or Minimal News,76319449.77419
2020,4,sizes,No or Minimal News,89603409.16667
2020,5,sizes,No or Minimal News,96557615.87097
2020,6,sizes,No or Minimal News,98843140.23333
2020,7,sizes,No or Minimal News,104291566.51613
2020,8,sizes,No or Minimal News,100625478.54839
2020,9,sizes,No or Minimal News,96094300.03333
2020,10,sizes,No or Minimal News,91590234.16129
2020,11,sizes,No or Minimal News,80865606.10000
2020,12,sizes,No or Minimal News,103077542.51613
2021,1,sizes,No or Minimal News,91085759.93548
2021,2,sizes,No or Minimal News,110874240.50000
2021,3,sizes,No or Minimal News,109536833.96774
2021,4,sizes,No or Minimal News,108895936.60000
2021,5,sizes,No or Minimal News,113507617.16129
2021,6,sizes,No or Minimal News,116353279.50000
2021,7,sizes,No or Minimal News,117907348.70968
2021,8,sizes,No or Minimal News,113526354.45161
2021,9,sizes,No or Minimal News,116436359.46667
2021,10,sizes,No or Minimal News,115297025.45161
2021,11,sizes,No or Minimal News,115466940.20000
2021,12,sizes,No or Minimal News,114688756.25807
2022,1,sizes,No or Minimal News,112039891.83871
2022,2,sizes,No or Minimal News,115536427.21429
2022,3,sizes,No or Minimal News,111510820.12903
2022,4,sizes,No or Minimal News,120703213.56667
2022,5,sizes,No or Minimal News,120453417.35484
2022,6,sizes,No or Minimal News,121994050.46667
2022,7,sizes,No or Minimal News,126764186.19355
2022,8,sizes,No or Minimal News,127379336.80645
2022,9,sizes,No or Minimal News,120538429.33333
2022,10,sizes,No or Minimal News,124778887.25806
2022,11,sizes,No or Minimal News,117757962.76667
2022,12,sizes,No or Minimal News,121379702.48387
2023,1,sizes,No or Minimal News,123051845.41936
2023,2,sizes,No or Minimal News,128885121.46429
2023,3,sizes,No or Minimal News,127341773.83871
2023,4,sizes,No or Minimal News,129721695.20000
2023,5,sizes,No or Minimal News,131381728.80645
2023,6,sizes,No or Minimal News,133714887.73333
2023,7,sizes,No or Minimal News,137031034.83871
2023,8,sizes,No or Minimal News,132262688.67742
2023,9,sizes,No or Minimal News,134131447.56667
2023,10,sizes,No or Minimal News,130765086.19355
2023,11,sizes,No or Minimal News,134023611.20000
2023,12,sizes,No or Minimal News,135522854.77419
2024,1,sizes,No or Minimal News,135756314.09677
2024,2,sizes,No or Minimal News,139387515.72414
2024,3,sizes,No or Minimal News,134987522.48387
2024,4,sizes,No or Minimal News,138841662.06667
2024,5,sizes,No or Minimal News,141630146.32258
2024,6,sizes,No or Minimal News,134315219.43333
2024,7,sizes,No or Minimal News,128998390.38710
2024,8,sizes,No or Minimal News,135746345.77419
2024,9,sizes,No or Minimal News,124926181.80000
2024,10,sizes,No or Minimal News,132373386.41935
2024,11,sizes,No or Minimal News,123000465.40000
2024,12,sizes,No or Minimal News,144040650.35484
2025,1,sizes,No or Minimal News,130430167.77419
2025,2,sizes,No or Minimal News,145919869.35714
2025,3,sizes,No or Minimal News,140428241.54839
2025,4,sizes,No or Minimal News,147922493.56667
2025,5,sizes,No or Minimal News,149456067.19355
2025,6,sizes,No or Minimal News,147829768.33333
2025,7,sizes,No or Minimal News,154009939.48387
2025,8,sizes,No or Minimal News,156035927.45161
2025,9,sizes,No or Minimal News,152881681.20000
2016,1,sizes,Hard Broadcast News,59642686.90321
2016,2,sizes,Hard Broadcast News,54658657.42851
2016,3,sizes,Hard Broadcast News,48748177.87092
2016,4,sizes,Hard Broadcast News,50392028.83332
2016,5,sizes,Hard Broadcast News,50060023.03231
2016,6,sizes,Hard Broadcast News,49502680.16673
2016,7,sizes,Hard Broadcast News,55101893.70977
2016,8,sizes,Hard Broadcast News,49895003.41938
2016,9,sizes,Hard Broadcast News,59559251.73327
2016,10,sizes,Hard Broadcast News,63590588.93541
2016,11,sizes,Hard Broadcast News,62906951.23332
2016,12,sizes,Hard Broadcast News,51692991.32257
2017,1,sizes,Hard Broadcast News,58690732.90321
2017,2,sizes,Hard Broadcast News,51022971.64286
2017,3,sizes,Hard Broadcast News,49420206.29028
2017,4,sizes,Hard Broadcast News,47020669.06664
2017,5,sizes,Hard Broadcast News,45899272.64518
2017,6,sizes,Hard Broadcast News,49262859.56672
2017,7,sizes,Hard Broadcast News,45474957.99995
2017,8,sizes,Hard Broadcast News,48111257.58069
2017,9,sizes,Hard Broadcast News,46403480.63334
2017,10,sizes,Hard Broadcast News,48855851.34285
2017,11,sizes,Hard Broadcast News,46954711.73331
2017,12,sizes,Hard Broadcast News,49509987.58070
2018,1,sizes,Hard Broadcast News,51801940.25813
2018,2,sizes,Hard Broadcast News,47635223.03570
2018,3,sizes,Hard Broadcast News,48166867.45157
2018,4,sizes,Hard Broadcast News,47347605.33334
2018,5,sizes,Hard Broadcast News,45392202.41935
2018,6,sizes,Hard Broadcast News,47792685.06669
2018,7,sizes,Hard Broadcast News,46116381.03225
2018,8,sizes,Hard Broadcast News,46082706.41938
2018,9,sizes,Hard Broadcast News,46990803.46665
2018,10,sizes,Hard Broadcast News,43299891.48383
2018,11,sizes,Hard Broadcast News,49264239.50004
2018,12,sizes,Hard Broadcast News,50693348.03230
2019,1,sizes,Hard Broadcast News,54075251.77419
2019,2,sizes,Hard Broadcast News,56123624.28571
2019,3,sizes,Hard Broadcast News,55057610.09677
2019,4,sizes,Hard Broadcast News,48844197.50000
2019,5,sizes,Hard Broadcast News,51990741.29032
2019,6,sizes,Hard Broadcast News,53130883.50000
2019,7,sizes,Hard Broadcast News,46359271.41936
2019,8,sizes,Hard Broadcast News,45675877.87097
2019,9,sizes,Hard Broadcast News,55075489.73333
2019,10,sizes,Hard Broadcast News,52288585.54839
2019,11,sizes,Hard Broadcast News,56108919.76667
2019,12,sizes,Hard Broadcast News,57655444.45161
2020,1,sizes,Hard Broadcast News,55940810.22581
2020,2,sizes,Hard Broadcast News,56301909.65517
2020,3,sizes,Hard Broadcast News,58157778.38710
2020,4,sizes,Hard Broadcast News,49393621.66667
2020,5,sizes,Hard Broadcast News,47410845.22581
2020,6,sizes,Hard Broadcast News,46409592.23333
2020,7,sizes,Hard Broadcast News,45210028.45161
2020,8,sizes,Hard Broadcast News,45562730.70968
2020,9,sizes,Hard Broadcast News,52027731.43333
2020,10,sizes,Hard Broadcast News,54182053.19355
2020,11,sizes,Hard Broadcast News,50129369.86667
2020,12,sizes,Hard Broadcast News,43128526.96774
2021,1,sizes,Hard Broadcast News,49525169.61290
2021,2,sizes,Hard Broadcast News,41257006.00000
2021,3,sizes,Hard Broadcast News,44738872.58065
2021,4,sizes,Hard Broadcast News,45080678.03333
2021,5,sizes,Hard Broadcast News,43183821.67742
2021,6,sizes,Hard Broadcast News,40773874.86667
2021,7,sizes,Hard Broadcast News,41304495.48387
2021,8,sizes,Hard Broadcast News,42761330.00000
2021,9,sizes,Hard Broadcast News,43728177.36667
2021,10,sizes,Hard Broadcast News,46933627.03226
2021,11,sizes,Hard Broadcast News,44935802.46667
2021,12,sizes,Hard Broadcast News,45863386.32258
2022,1,sizes,Hard Broadcast News,49452671.70968
2022,2,sizes,Hard Broadcast News,41961935.39286
2022,3,sizes,Hard Broadcast News,44425041.87097
2022,4,sizes,Hard Broadcast News,43029704.66667
2022,5,sizes,Hard Broadcast News,43115167.16129
2022,6,sizes,Hard Broadcast News,42462928.46667
2022,7,sizes,Hard Broadcast News,40401572.54839
2022,8,sizes,Hard Broadcast News,38384836.12903
2022,9,sizes,Hard Broadcast News,46247690.96667
2022,10,sizes,Hard Broadcast News,44153290.83871
2022,11,sizes,Hard Broadcast News,45597244.26667
2022,12,sizes,Hard Broadcast News,45043090.61290
2023,1,sizes,Hard Broadcast News,45933740.64516
2023,2,sizes,Hard Broadcast News,43207997.50000
2023,3,sizes,Hard Broadcast News,44497279.80645
2023,4,sizes,Hard Broadcast News,41468442.53333
2023,5,sizes,Hard Broadcast News,42443564.38710
2023,6,sizes,Hard Broadcast News,39392749.36667
2023,7,sizes,Hard Broadcast News,37889819.80645
2023,8,sizes,Hard Broadcast News,38269098.25806
2023,9,sizes,Hard Broadcast News,41019607.66667
2023,10,sizes,Hard Broadcast News,43295820.16129
2023,11,sizes,Hard Broadcast News,43041821.66667
2023,12,sizes,Hard Broadcast News,43881461.51613
2024,1,sizes,Hard Broadcast News,42134548.83871
2024,2,sizes,Hard Broadcast News,42766201.65517
2024,3,sizes,Hard Broadcast News,46349879.16129
2024,4,sizes,Hard Broadcast News,42123548.86667
2024,5,sizes,Hard Broadcast News,39854424.45161
2024,6,sizes,Hard Broadcast News,44148780.70000
2024,7,sizes,Hard Broadcast News,47047774.25806
2024,8,sizes,Hard Broadcast News,42097046.29032
2024,9,sizes,Hard Broadcast News,56060973.86667
2024,10,sizes,Hard Broadcast News,47304817.51613
2024,11,sizes,Hard Broadcast News,51424994.76667
2024,12,sizes,Hard Broadcast News,42595639.54839
2025,1,sizes,Hard Broadcast News,52668620.74194
2025,2,sizes,Hard Broadcast News,40036532.10714
2025,3,sizes,Hard Broadcast News,45867604.19355
2025,4,sizes,Hard Broadcast News,39708936.50000
2025,5,sizes,Hard Broadcast News,40335113.58064
2025,6,sizes,Hard Broadcast News,37316450.20000
2025,7,sizes,Hard Broadcast News,36402706.35484
2025,8,sizes,Hard Broadcast News,37245823.22581
2025,9,sizes,Hard Broadcast News,38413240.76667
2016,1,sizes,Soft Broadcast News,41906241.45160
